,,Well,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
p53 NTAD,1020,494,16666,15923,15641,15003,15320,15546,16185,15749,13892,13988,13511,12948,17009,15421,13718,13496,12261,11384
p53 NTAD,1020,495,16962,16304,15970,15280,15622,15835,16462,16045,14152,14252,13837,13195,17296,15701,14036,13786,12498,11667
p53 NTAD,1020,496,17259,16577,16258,15583,15906,16084,16641,16252,14287,14379,13992,13432,17528,15842,14207,14040,12746,11932
p53 NTAD,1020,497,17818,17093,16761,16089,16480,16653,17116,16677,14755,14864,14448,13875,17950,16350,14641,14438,13197,12355
p53 NTAD,1020,498,18382,17648,17336,16620,16932,17188,17538,17085,15126,15261,14856,14295,18435,16725,15021,14862,13630,12788
p53 NTAD,1020,499,19045,18262,17943,17179,17577,17823,18158,17603,15630,15784,15441,14893,18949,17249,15488,15358,14106,13312
p53 NTAD,1020,500,19647,18861,18607,17724,18150,18312,18563,18048,16018,16229,15892,15405,19501,17760,15975,15816,14645,13822
p53 NTAD,1020,501,20309,19572,19235,18387,18811,18992,19144,18515,16549,16726,16459,15972,20023,18204,16443,16408,15178,14416
p53 NTAD,1020,502,21579,20788,20388,19484,20027,20171,20168,19560,17467,17772,17564,17089,21132,19270,17432,17479,16199,15487
p53 NTAD,1020,503,22201,21429,20986,20101,20600,20804,20687,20004,17939,18275,18158,17674,21722,19761,17877,17956,16827,16072
p53 NTAD,1020,504,23189,22383,21937,21128,21522,21721,21477,20814,18679,19118,19005,18704,22543,20571,18743,18864,17706,17021
p53 NTAD,1020,505,24543,23749,23200,22306,22824,22987,22653,21948,19838,20307,20296,20022,23792,21741,19873,20117,18961,18281
p53 NTAD,1020,506,25463,24571,24031,23143,23692,23856,23437,22569,20511,21037,21128,20883,24532,22451,20488,20868,19781,19185
p53 NTAD,1020,507,26585,25750,25151,24177,24799,24948,24250,23505,21373,22012,22174,21987,25418,23316,21447,21877,20741,20252
p53 NTAD,1020,508,27825,26971,26230,25354,26033,26074,25386,24538,22442,23142,23409,23198,26587,24409,22589,22986,21957,21556
p53 NTAD,1020,509,28843,27953,27283,26295,27000,27121,26280,25459,23315,24136,24490,24443,27605,25326,23473,24084,23063,22727
p53 NTAD,1020,510,29912,28954,28201,27243,27911,28153,27178,26346,24186,25125,25542,25605,28498,26221,24383,25086,24169,23867
p53 NTAD,1020,511,30900,29880,29127,28073,28853,28945,27980,27160,25087,26082,26616,26674,29330,27113,25227,26047,25171,24894
p53 NTAD,1020,512,31679,30859,30006,28960,29680,29862,28828,27952,25887,27046,27667,27774,30166,27906,26118,26934,26204,25911
