,,Well,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,wt %,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA S3,1020,486,12128,11780,12104,13132,12792,11883,13620,12995,11912,12954,12044,11286,13396,13221,11281,11520,11212,9388
PUMA S3,1020,487,12147,11761,12104,13173,12829,11925,13639,12974,11865,12976,12068,11242,13344,13210,11241,11457,11151,9356
PUMA S3,1020,488,11982,11633,11968,12983,12664,11783,13364,12762,11657,12769,11864,11096,13168,13028,11121,11336,11004,9261
PUMA S3,1020,489,11873,11513,11831,12840,12591,11711,13223,12593,11563,12597,11744,10967,13046,12818,10922,11202,10910,9119
PUMA S3,1020,490,12128,11747,12105,13129,12823,11901,13446,12789,11677,12771,11928,11160,13235,13020,11108,11347,11083,9301
PUMA S3,1020,491,12111,11775,12067,13080,12818,11884,13367,12678,11626,12719,11851,11106,13110,12923,11032,11283,10996,9276
PUMA S3,1020,492,12269,11954,12290,13304,12989,12088,13510,12845,11729,12827,12011,11239,13284,13075,11176,11408,11141,9403
PUMA S3,1020,493,12636,12244,12606,13626,13379,12357,13730,13080,11963,13019,12271,11523,13515,13298,11337,11669,11377,9665
PUMA S3,1020,494,12897,12509,12887,13952,13665,12681,13999,13211,12111,13233,12418,11683,13669,13482,11564,11838,11610,9804
PUMA S3,1020,495,13492,13153,13477,14577,14260,13227,14475,13795,12580,13778,12937,12190,14187,13950,11982,12288,12029,10297
PUMA S3,1020,496,13873,13516,13906,15035,14712,13636,14770,13982,12808,14060,13228,12558,14455,14234,12247,12625,12380,10552
PUMA S3,1020,497,14474,14120,14584,15681,15447,14246,15299,14496,13266,14565,13768,13002,15026,14716,12675,13101,12914,11073
PUMA S3,1020,498,15244,14782,15218,16438,16125,14942,15790,14902,13750,15053,14275,13543,15503,15236,13154,13588,13397,11574
PUMA S3,1020,499,16094,15681,16174,17414,17037,15817,16510,15673,14422,15878,15052,14375,16246,15930,13792,14285,14199,12265
PUMA S3,1020,500,17007,16632,17095,18421,18084,16745,17287,16377,15054,16601,15826,15086,16984,16683,14404,15072,14951,13047
PUMA S3,1020,501,17940,17549,18069,19456,19152,17691,17974,17068,15750,17436,16646,15945,17720,17338,15116,15798,15669,13749
PUMA S3,1020,502,19531,19094,19660,21160,20749,19215,19302,18327,16937,18712,18008,17317,18959,18587,16289,17062,16990,15012
PUMA S3,1020,503,20671,20247,20834,22402,22060,20371,20184,19207,17729,19540,18926,18289,19836,19485,17033,17935,17952,15899
PUMA S3,1020,504,22059,21662,22275,24019,23594,21738,21353,20163,18817,20781,20224,19514,20950,20555,18084,19050,19252,17056
PUMA S3,1020,505,23802,23364,24138,25898,25419,23511,22856,21605,20088,22210,21687,21037,22402,21890,19283,20465,20724,18483
PUMA S3,1020,506,25386,24966,25758,27666,27174,25100,24171,22860,21225,23645,23150,22462,23610,23180,20491,21811,22087,19870
PUMA S3,1020,507,27146,26750,27467,29532,29035,26798,25416,24257,22615,25036,24680,23987,25095,24488,21797,23165,23710,21318
PUMA S3,1020,508,29019,28673,29571,31667,31116,28719,27076,25705,24116,26732,26479,25868,26584,26092,23247,24881,25425,22938
PUMA S3,1020,509,30939,30591,31461,33726,33235,30628,28621,27292,25512,28439,28152,27523,28179,27610,24658,26415,27210,24587
PUMA S3,1020,510,32748,32308,33272,35724,35221,32340,30150,28721,26864,29950,29798,29112,29596,29037,25920,27912,28771,26064
PUMA S3,1020,511,34065,33720,34690,37120,36609,33739,31263,29718,27956,31178,31039,30509,30717,30112,27086,29111,29987,27438
PUMA S3,1020,512,36186,35731,36873,39451,38841,35806,33143,31488,29686,33033,32913,32460,32505,31882,28625,30931,31932,29293
PUMA S3,1020,513,37401,36980,38085,40833,40294,37054,34143,32534,30638,34086,34139,33607,33524,32948,29608,32075,33212,30348
