,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,D01,D02,D03,D04,D05,D06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS24,1020,497,16449,17516,17013,17060,16286,18050,20394,22325,21087,17655,20094,18517,18450,18567,17348,16446,15353,14319
GS24,1020,498,17020,18083,17651,17651,16872,18663,20917,22880,21620,18170,20741,19140,18830,18969,17735,16848,15809,14812
GS24,1020,499,17916,19105,18558,18533,17765,19569,21794,23820,22605,19060,21687,20085,19699,19800,18530,17703,16624,15670
GS24,1020,500,18683,19835,19310,19349,18526,20360,22425,24385,23293,19611,22421,20796,20290,20385,19070,18314,17177,16256
GS24,1020,501,19537,20736,20237,20221,19292,21339,23164,25303,24067,20373,23291,21825,20839,21046,19761,18911,17975,17080
GS24,1020,502,20680,22010,21382,21373,20420,22524,24124,26316,25075,21413,24404,23027,21782,21975,20648,19842,18921,18109
GS24,1020,503,21983,23345,22726,22720,21672,23852,25251,27635,26522,22631,25791,24397,22864,22966,21684,20974,20077,19264
GS24,1020,504,23260,24760,24013,24029,23007,25240,26402,28768,27781,23777,27211,25885,23925,24137,22743,22138,21252,20536
GS24,1020,505,24569,25992,25226,25215,24085,26494,27451,29943,28870,24797,28449,27205,24776,25100,23712,23074,22256,21712
GS24,1020,506,26021,27616,26835,26794,25700,28100,28870,31511,30495,26358,30149,28971,26100,26395,25082,24547,23756,23161
GS24,1020,507,27597,29301,28449,28367,27150,29790,30219,32994,32092,27722,31733,30707,27272,27684,26327,25833,25179,24789
GS24,1020,508,29146,30926,30040,30060,28684,31412,31580,34459,33589,29270,33432,32499,28526,28935,27596,27161,26564,26317
GS24,1020,509,30927,32766,31869,31830,30327,33224,33161,36253,35354,30955,35269,34453,29924,30416,28979,28797,28284,27982
GS24,1020,510,32265,34267,33303,33238,31660,34656,34321,37514,36825,32288,36819,36004,31101,31590,30113,29997,29492,29423
GS24,1020,511,33567,35599,34704,34534,32850,36067,35667,38941,38125,33600,38468,37716,32212,32720,31336,31304,30921,30945
GS24,1020,512,35046,37226,36128,36026,34290,37629,36812,40318,39575,34898,39932,39336,33242,33906,32464,32563,32116,32434
GS24,1020,513,36140,38295,37225,37211,35475,38852,37813,41474,40878,36140,41382,40758,34213,34857,33405,33631,33331,33639
GS24,1020,514,36752,39081,37973,37824,36116,39606,38361,42154,41653,36748,42092,41715,34730,35567,34144,34356,34130,34464
GS24,1020,515,37417,39549,38473,38404,36627,40171,38822,42669,42211,37432,42688,42489,35260,36055,34569,34941,34786,35230
GS24,1020,516,37823,40037,38836,38815,36929,40540,38998,42976,42671,37734,43254,42967,35441,36173,34909,35167,35211,35629
