,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
mNGctrl (NGfree),1020,505,1681,1699,1902,1851,1735,1801,1821,1564,1497,1576,1436,1496,1568,1441,1187,1326,1413,1404
mNGctrl (NGfree),1020,506,1892,1905,2160,2084,1920,2008,2060,1759,1688,1773,1629,1688,1769,1610,1334,1496,1608,1578
mNGctrl (NGfree),1020,507,2149,2167,2422,2359,2183,2277,2310,2007,1916,2012,1848,1929,1999,1831,1517,1697,1828,1804
mNGctrl (NGfree),1020,508,2415,2422,2727,2636,2442,2531,2597,2270,2166,2284,2084,2165,2250,2070,1718,1915,2055,2031
mNGctrl (NGfree),1020,509,2668,2687,3007,2924,2688,2811,2868,2521,2406,2540,2312,2410,2493,2317,1889,2145,2283,2246
mNGctrl (NGfree),1020,510,2932,2939,3335,3207,2944,3077,3136,2768,2660,2801,2558,2679,2758,2550,2082,2345,2524,2492
mNGctrl (NGfree),1020,511,3181,3202,3596,3478,3201,3327,3418,3021,2915,3044,2791,2918,2969,2743,2268,2555,2759,2683
mNGctrl (NGfree),1020,512,3397,3416,3844,3716,3435,3569,3695,3238,3132,3299,3000,3156,3207,2975,2433,2773,2956,2933
mNGctrl (NGfree),1020,513,3601,3609,4063,3913,3619,3784,3904,3445,3322,3495,3188,3345,3405,3118,2605,2944,3135,3119
mNGctrl (NGfree),1020,514,3734,3762,4227,4087,3771,3898,4062,3600,3478,3643,3336,3480,3550,3313,2714,3060,3295,3244
mNGctrl (NGfree),1020,515,3876,3932,4411,4261,3934,4081,4245,3783,3653,3837,3508,3664,3699,3464,2858,3201,3446,3396
mNGctrl (NGfree),1020,516,3936,3965,4451,4331,3990,4142,4289,3848,3721,3906,3566,3726,3790,3504,2897,3270,3514,3477
mNGctrl (NGfree),1020,517,3972,4011,4512,4384,4031,4210,4398,3907,3792,3979,3627,3811,3817,3551,2943,3330,3573,3528
mNGctrl (NGfree),1020,518,3996,4038,4525,4384,4045,4222,4416,3950,3816,4053,3645,3833,3878,3585,2991,3396,3606,3579
mNGctrl (NGfree),1020,519,3939,3963,4457,4327,3966,4138,4344,3874,3779,3960,3623,3786,3810,3530,2922,3322,3573,3536
mNGctrl (NGfree),1020,520,3897,3922,4423,4279,3940,4116,4318,3883,3735,3952,3572,3753,3805,3516,2935,3295,3559,3515
mNGctrl (NGfree),1020,521,3734,3762,4235,4120,3806,3956,4141,3686,3609,3801,3450,3612,3638,3384,2800,3170,3435,3399
mNGctrl (NGfree),1020,522,3607,3659,4111,3986,3689,3824,4017,3591,3494,3691,3341,3511,3541,3277,2721,3088,3315,3291
