,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,D01,D02,D03,D04,D05,D06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS8,1020,497,34903,32964,33385,33523,32437,33128,36709,36222,36061,33322,32559,31932,30755,35427,35543,32883,30639,29349
GS8,1020,498,36612,34338,34950,35017,33886,34622,37800,37261,37293,34512,33597,33172,31787,36429,36670,33993,31711,30561
GS8,1020,499,38371,36145,36631,36599,35551,36297,39235,38531,38564,35849,35050,34633,32939,37765,38182,35339,32995,31960
GS8,1020,500,40258,37912,38351,38454,37396,38073,40601,39966,39957,37063,36397,36136,34116,39063,39430,36621,34344,33353
GS8,1020,501,42368,39954,40395,40538,39350,40060,42239,41520,41436,38728,38058,37927,35444,40648,41035,38198,36018,35026
GS8,1020,502,45808,43175,43767,43830,42562,43421,45034,44300,44270,41540,40904,40884,37780,43248,43714,40935,38619,37725
GS8,1020,503,48187,45384,46017,46055,44820,45686,46779,45909,45988,43102,42823,43002,39251,44942,45480,42477,40407,39602
GS8,1020,504,51337,48426,49157,49236,47762,48782,49437,48457,48604,45688,45481,45723,41506,47336,48068,45055,42990,42365
GS8,1020,505,55673,52505,53240,53294,51803,52806,52559,51601,51944,49064,48976,49420,44175,50487,51303,48454,46196,45724
GS8,1020,506,59015,55519,56466,56473,54889,56060,55303,54165,54612,51733,51713,52442,46382,53015,53940,50962,48807,48527
GS8,1020,507,62770,59336,60182,60213,58591,59737,58512,57208,57893,55002,55050,56002,49011,56059,57236,54401,52086,51928
GS8,1020,508,66977,63374,64327,64366,62617,63800,62005,60707,61546,58495,58835,60051,51976,59380,60646,57684,55591,55582
GS8,1020,509,71186,67264,68283,68378,66460,67660,65130,63889,64705,61735,62309,63700,54632,62457,63855,60979,58945,59158
GS8,1020,510,75059,70941,71987,72109,70211,71399,68322,67090,68110,65178,65865,67587,57397,65639,67506,64377,62386,62647
GS8,1020,511,78981,74538,75586,75896,73597,75261,71491,70316,71294,68536,69361,71045,60025,68484,70578,67767,65795,66323
GS8,1020,512,82601,78020,79229,79245,77011,78756,74621,73196,74446,71538,72547,74968,62617,71573,73660,70736,68959,69576
GS8,1020,513,85661,80764,82331,82369,80097,81621,77192,75810,77352,74365,75594,78024,64874,74237,76568,73429,71856,72625
GS8,1020,514,88089,83237,84463,84664,82242,83608,79212,77941,79309,76528,77792,80366,66435,75822,78492,75334,73862,74750
GS8,1020,515,90289,85144,86673,86697,84305,85915,81181,79624,81595,78622,80046,82977,68097,78121,80721,77719,76301,77337
GS8,1020,516,91533,86376,87781,87947,85563,87018,82053,80950,82444,79717,81350,84263,69195,79054,81998,78968,77498,78507
