,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
E1A,1020,498,10330,9860,10345,9442,9791,9403,10417,11269,11957,10954,10410,10231,10217,10404,10467,9607,9538,9279
E1A,1020,499,11446,10980,11476,10524,10836,10442,11267,12135,12801,11662,11109,10923,11096,11238,11220,10317,10236,9910
E1A,1020,500,12713,12152,12722,11629,11991,11607,12211,13079,13716,12499,11850,11648,11977,12046,12097,11056,11076,10708
E1A,1020,501,14180,13559,14191,13019,13346,12891,13334,14117,14744,13488,12743,12574,13114,13128,13129,11954,11949,11586
E1A,1020,502,16072,15458,16170,14799,15220,14647,14947,15705,16351,14851,14033,13847,14677,14660,14583,13244,13296,12898
E1A,1020,503,17740,17032,17821,16367,16749,16149,16192,16927,17573,15920,15103,14872,15890,15835,15708,14307,14364,13949
E1A,1020,504,19806,19006,19837,18264,18679,17987,17823,18509,19162,17390,16479,16201,17463,17379,17182,15676,15718,15245
E1A,1020,505,22328,21342,22373,20587,20923,20339,19816,20505,21228,19187,18231,17954,19473,19313,19096,17404,17466,17078
E1A,1020,506,24344,23257,24445,22439,22902,22147,21377,22098,22753,20654,19555,19284,21061,20760,20523,18688,18878,18401
E1A,1020,507,26857,25652,26911,24748,25137,24312,23458,24071,24856,22507,21247,20934,23032,22680,22404,20408,20577,20118
E1A,1020,508,29380,28049,29478,27022,27464,26587,25531,26151,26992,24429,23141,22780,25102,24742,24418,22248,22489,21930
E1A,1020,509,31660,30316,31778,29235,29810,28882,27504,28142,29029,26234,24903,24524,27021,26623,26277,23941,24286,23779
E1A,1020,510,33955,32574,34191,31352,31975,30896,29309,30027,30971,28023,26616,26222,28932,28514,28135,25587,25992,25503
E1A,1020,511,36286,34749,36368,33478,34051,32986,31314,32004,32966,29879,28425,27962,30764,30426,29910,27400,27767,27243
E1A,1020,512,38330,36559,38417,35345,35895,34712,33068,33814,34878,31550,29977,29629,32557,32102,31664,28933,29337,28861
E1A,1020,513,40059,38255,40124,36952,37490,36267,34553,35351,36347,32989,31338,30831,34014,33599,33116,30344,30841,30206
E1A,1020,514,41245,39333,41319,38119,38606,37367,35647,36335,37631,34020,32426,31949,35016,34633,34218,31300,31920,31358
E1A,1020,515,42383,40483,42461,39216,39739,38421,36651,37582,38858,35237,33339,32955,36136,35770,35343,32386,32983,32376
E1A,1020,516,42931,41036,43121,39585,40155,38903,37325,38060,39447,35680,33988,33530,36617,36377,35878,32810,33517,32968
E1A,1020,517,42842,40887,42923,39599,40004,38820,37339,38077,39477,35727,34082,33546,36551,36396,35962,32831,33640,33065
