,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,D01,D02,D03,D04,D05,D06
GS32,1020,497,20239,19557,19157,20528,19717,19643,11759,21353,20554,20038,19843,20034,21284,21279,19132,18289,18604,15967
GS32,1020,498,20888,20118,19752,21091,20277,20220,11994,21749,21052,20496,20320,20694,21716,21690,19537,18742,19068,16466
GS32,1020,499,21973,21143,20753,22175,21394,21260,12445,22466,21743,21245,21166,21594,22452,22438,20277,19495,19951,17295
GS32,1020,500,22712,21954,21474,22964,22172,21969,12704,22926,22262,21837,21788,22209,22981,22963,20728,19978,20561,17894
GS32,1020,501,23715,22832,22353,23840,23053,22929,13052,23547,22874,22427,22552,23066,23599,23531,21407,20687,21311,18695
GS32,1020,502,24913,24026,23506,25061,24152,24063,13639,24421,23794,23464,23654,24265,24557,24421,22157,21619,22371,19760
GS32,1020,503,26321,25423,24883,26534,25559,25408,14188,25471,24739,24472,24768,25677,25512,25501,23256,22676,23602,20945
GS32,1020,504,27818,26779,26264,27977,26921,26778,14754,26253,25786,25605,25998,26958,26442,26464,24252,23719,24822,22125
GS32,1020,505,28979,27965,27420,29215,28175,27908,15206,27156,26602,26521,27063,28091,27268,27245,25046,24578,25830,23250
GS32,1020,506,30741,29700,29122,31052,29851,29640,15912,28376,27942,27936,28489,29768,28431,28486,26265,25909,27363,24747
GS32,1020,507,32415,31263,30652,32638,31421,31166,16558,29522,29068,29097,30035,31315,29595,29632,27362,27205,28825,26244
GS32,1020,508,34062,32900,32208,34373,33038,32715,17243,30737,30336,30492,31507,33043,30830,30809,28581,28502,30358,27776
GS32,1020,509,35874,34601,33923,36171,34821,34523,17964,32071,31630,31917,33162,34891,32124,32211,29922,29899,31991,29483
GS32,1020,510,37344,36034,35234,37578,36185,35817,18592,33021,32740,33087,34423,36451,33162,33260,31017,31031,33461,30870
GS32,1020,511,38725,37464,36706,39185,37705,37221,19134,34056,33911,34392,35843,37928,34209,34274,32057,32300,34716,32266
GS32,1020,512,40201,38763,38001,40544,39005,38622,19748,35061,34907,35508,37209,39519,35193,35459,33170,33469,36180,33788
GS32,1020,513,41450,40002,39184,41881,40150,39564,20216,36050,35818,36541,38427,40861,36100,36317,34090,34548,37431,34874
GS32,1020,514,42153,40694,39891,42499,40812,40294,20443,36487,36400,37199,39181,41685,36580,36936,34730,35206,38191,35848
GS32,1020,515,42622,41120,40429,43046,41395,40922,20680,36882,36761,37526,39576,42312,36975,37278,34989,35597,38760,36437
GS32,1020,516,43028,41499,40541,43373,41704,41034,20809,37113,37104,38039,40114,42947,37248,37607,35479,36022,39354,36968
GS32,1020,517,42934,41297,40520,43303,41615,40998,20797,37078,37139,37987,40171,42964,37114,37483,35370,36003,39369,37092
GS32,1020,518,42763,41281,40429,43169,41504,40946,20712,36926,36914,37884,40124,42965,36924,37354,35394,35993,39384,37174
GS32,1020,519,41820,40377,39468,42267,40571,39956,20253,36215,36196,37165,39345,42210,36206,36669,34550,35255,38663,36561
GS32,1020,520,41367,39851,38921,41611,39958,39501,20034,35734,35828,36683,38971,41769,35813,36158,34265,34962,38311,36238
GS32,1020,521,40139,38701,37860,40443,38969,38440,19444,34744,34827,35745,37982,40656,34952,35303,33312,34135,37396,35389
GS32,1020,522,38379,36993,36263,38633,37189,36698,18601,33396,33332,34307,36413,38989,33363,33788,31974,32673,35712,33857
GS32,1020,523,36911,35667,34962,37310,35824,35443,17998,32227,32379,33116,35245,37808,32202,32692,30939,31558,34656,32718
GS32,1020,524,35295,33975,33343,35610,34177,33766,17188,30725,30834,31574,33583,35952,30847,31243,29585,30267,33106,31237
GS32,1020,525,33873,32604,32020,34166,32868,32493,16568,29566,29561,30365,32149,34637,29553,30014,28334,29049,31765,29935
GS32,1020,526,32282,31124,30491,32579,31375,30982,15795,28271,28314,29041,30859,33023,28260,28615,27139,27690,30408,28649
GS32,1020,527,30632,29453,28830,30833,29642,29295,14970,26796,26881,27579,29192,31306,26840,27234,25735,26215,28864,27110
GS32,1020,528,29265,28238,27668,29487,28478,28070,14402,25808,25775,26425,28050,30040,25810,26033,24641,25212,27596,25939
GS32,1020,529,28228,27250,26600,28487,27364,27044,13895,24857,24863,25499,27074,28907,24861,25208,23747,24261,26550,24994
GS32,1020,530,27500,26538,26026,27803,26747,26400,13580,24308,24298,24877,26317,28120,24219,24569,23252,23644,25831,24328
GS32,1020,531,26389,25525,24896,26635,25629,25333,13052,23346,23371,23895,25299,27097,23363,23649,22288,22696,24786,23376
GS32,1020,532,25379,24479,23997,25612,24644,24430,12558,22450,22482,22963,24266,25972,22496,22739,21421,21785,23854,22429
GS32,1020,533,24542,23637,23037,24722,23771,23539,12172,21672,21686,22136,23412,25034,21737,22018,20765,21063,22936,21592
GS32,1020,534,23632,22806,22361,23850,22959,22744,11775,21015,21006,21425,22654,24230,21055,21331,20067,20329,22219,20816
GS32,1020,535,22910,22116,21682,23168,22266,21998,11412,20406,20367,20792,21873,23383,20372,20621,19401,19712,21489,20057
GS32,1020,536,22079,21375,20875,22302,21485,21221,11000,19688,19675,20046,21107,22547,19613,19948,18671,18923,20611,19377
GS32,1020,537,21332,20574,20183,21569,20726,20499,10671,19023,18871,19331,20353,21715,19024,19260,18061,18398,19970,18627
GS32,1020,538,20907,20174,19658,21049,20232,20038,10432,18559,18530,18885,19918,21157,18635,18872,17620,17925,19512,18187
GS32,1020,539,20087,19370,18941,20239,19417,19283,10062,17861,17823,18186,19096,20328,17953,18097,17002,17170,18691,17447
GS32,1020,540,19514,18816,18400,19676,18902,18649,9793,17400,17326,17603,18529,19733,17386,17608,16493,16715,18082,16961
GS32,1020,541,18759,18126,17809,19008,18296,18120,9439,16724,16683,17004,17890,19006,16714,16922,15875,16130,17512,16333
GS32,1020,542,18328,17574,17251,18425,17746,17498,9199,16310,16179,16525,17356,18461,16326,16500,15466,15627,17036,15806
GS32,1020,543,18065,17377,16996,18225,17499,17320,9072,16088,15946,16232,17137,18201,16144,16308,15296,15448,16782,15600
GS32,1020,544,17447,16825,16505,17613,16924,16758,8773,15545,15426,15737,16544,17591,15628,15746,14786,14963,16154,15153
GS32,1020,545,16974,16356,16044,17119,16453,16318,8486,15111,15036,15234,16094,17147,15176,15289,14339,14523,15791,14643
GS32,1020,546,16424,15780,15469,16518,15913,15751,8257,14549,14461,14740,15542,16512,14621,14766,13864,14007,15166,14138
GS32,1020,547,15886,15334,15029,16009,15399,15250,7987,14111,14035,14285,15079,15989,14124,14279,13318,13561,14722,13716
GS32,1020,548,15348,14799,14480,15454,14889,14681,7705,13594,13618,13798,14551,15441,13692,13829,12939,13127,14200,13255
GS32,1020,549,14830,14282,13956,14944,14366,14157,7410,13096,13053,13314,13996,14863,13161,13297,12454,12656,13689,12767
GS32,1020,550,14182,13697,13406,14358,13766,13611,7124,12563,12547,12738,13464,14331,12636,12744,11922,12088,13148,12334
GS32,1020,551,13743,13265,12931,13796,13302,13125,6881,12156,12137,12317,13006,13880,12194,12309,11500,11703,12694,11921
GS32,1020,552,13362,12878,12630,13525,13000,12805,6708,11793,11791,12015,12641,13504,11895,11999,11262,11419,12374,11563
GS32,1020,553,12910,12438,12183,13045,12516,12408,6499,11381,11352,11613,12215,13051,11427,11518,10829,10996,11973,11190
GS32,1020,554,12686,12218,12000,12811,12297,12162,6375,11180,11143,11373,12008,12804,11208,11358,10633,10810,11761,11019
GS32,1020,555,12355,11860,11646,12424,11936,11832,6201,10867,10851,11056,11684,12459,10925,11021,10362,10530,11433,10731
GS32,1020,556,12005,11603,11377,12141,11589,11513,6040,10550,10537,10787,11404,12140,10613,10732,10131,10270,11156,10473
GS32,1020,557,11573,11220,10883,11628,11151,11089,5796,10232,10190,10394,11033,11707,10280,10362,9696,9819,10766,10072
GS32,1020,558,11248,10872,10613,11332,10882,10773,5624,9914,9888,10104,10621,11388,9923,10051,9404,9594,10429,9831
GS32,1020,559,10942,10580,10271,11026,10605,10477,5497,9626,9604,9852,10388,11084,9653,9768,9217,9343,10188,9552
GS32,1020,560,10502,10125,9864,10567,10168,10037,5280,9232,9218,9443,9953,10620,9314,9409,8826,8979,9782,9174
GS32,1020,561,10127,9769,9554,10176,9847,9735,5081,8959,8954,9110,9649,10261,8977,9075,8547,8652,9437,8866
GS32,1020,562,9804,9425,9204,9849,9463,9361,4944,8675,8612,8835,9315,9954,8698,8785,8256,8419,9107,8614
GS32,1020,563,9346,8960,8812,9366,9040,8943,4686,8295,8214,8367,8897,9467,8304,8371,7891,8006,8710,8176
GS32,1020,564,9012,8713,8539,9116,8765,8690,4544,8036,7957,8139,8603,9176,7997,8056,7615,7752,8439,7915
GS32,1020,565,8625,8315,8119,8688,8379,8320,4375,7656,7632,7826,8241,8800,7670,7798,7310,7481,8104,7594
GS32,1020,566,8268,7944,7817,8356,8043,7964,4185,7336,7294,7503,7933,8442,7348,7445,6982,7115,7746,7279
GS32,1020,567,7892,7629,7464,8008,7681,7595,4018,7036,7025,7174,7568,8073,7049,7178,6724,6832,7422,7020
GS32,1020,568,7574,7263,7115,7611,7314,7259,3856,6704,6713,6862,7224,7706,6794,6818,6390,6527,7120,6638
GS32,1020,569,7207,6926,6827,7307,7030,6904,3679,6399,6358,6565,6879,7382,6435,6507,6125,6204,6764,6369
GS32,1020,570,6926,6687,6561,6986,6730,6649,3533,6195,6180,6281,6643,7067,6212,6283,5906,5989,6528,6131
GS32,1020,571,6641,6443,6312,6699,6447,6408,3396,5914,5919,6049,6326,6782,5944,6013,5648,5726,6269,5833
GS32,1020,572,6412,6183,6049,6436,6211,6167,3290,5710,5678,5821,6150,6530,5726,5806,5462,5548,6008,5602
GS32,1020,573,6125,5890,5781,6164,5959,5894,3145,5483,5453,5523,5877,6262,5503,5568,5231,5306,5761,5383
GS32,1020,574,5863,5621,5541,5883,5687,5627,2991,5231,5214,5332,5620,5943,5267,5288,4998,5026,5480,5148
GS32,1020,575,5613,5398,5296,5646,5451,5425,2878,5038,4992,5110,5378,5702,5035,5111,4783,4834,5275,4940
GS32,1020,576,5455,5259,5138,5466,5309,5241,2805,4885,4862,4976,5235,5562,4907,4957,4626,4736,5118,4792
GS32,1020,577,5152,4977,4885,5169,5006,4952,2657,4604,4633,4683,4951,5257,4642,4678,4412,4457,4839,4515
GS32,1020,578,4956,4797,4665,4993,4834,4752,2581,4445,4462,4523,4737,4999,4468,4526,4204,4302,4646,4343
GS32,1020,579,4655,4486,4397,4697,4500,4461,2409,4181,4171,4214,4439,4752,4219,4237,3984,4037,4357,4079
GS32,1020,580,4481,4313,4228,4488,4341,4302,2324,4042,4006,4050,4295,4558,4063,4085,3816,3885,4204,3903
GS32,1020,581,4233,4111,4028,4282,4129,4100,2199,3843,3809,3860,4046,4303,3847,3892,3650,3664,3955,3724
GS32,1020,582,4113,3991,3899,4154,4004,3965,2146,3731,3694,3791,3963,4204,3772,3771,3548,3577,3890,3626
GS32,1020,583,3943,3836,3736,3989,3855,3784,2052,3575,3579,3619,3809,4031,3600,3619,3387,3421,3699,3464
GS32,1020,584,3815,3697,3634,3864,3706,3698,2001,3452,3452,3489,3655,3886,3489,3492,3289,3306,3583,3352
GS32,1020,585,3670,3564,3500,3728,3542,3553,1930,3359,3329,3392,3531,3755,3359,3362,3181,3217,3466,3209
GS32,1020,586,3554,3442,3372,3623,3471,3428,1887,3270,3217,3274,3431,3634,3271,3277,3071,3070,3378,3083
GS32,1020,587,3462,3307,3223,3474,3331,3320,1805,3120,3092,3145,3267,3506,3139,3178,2968,2997,3220,2979
GS32,1020,588,3297,3197,3105,3320,3202,3189,1750,2994,2994,3043,3166,3374,3022,3030,2829,2889,3074,2870
GS32,1020,589,3215,3106,3053,3233,3121,3086,1710,2919,2904,2938,3073,3245,2958,2967,2774,2784,2993,2776
GS32,1020,590,3115,3013,2934,3150,3026,2994,1640,2843,2818,2877,2991,3159,2848,2865,2695,2715,2939,2707
GS32,1020,591,3036,2934,2852,3065,2939,2946,1601,2777,2757,2786,2913,3065,2793,2815,2624,2645,2832,2650
GS32,1020,592,2909,2844,2766,2971,2868,2806,1523,2697,2668,2696,2804,2971,2704,2728,2546,2558,2740,2548
GS32,1020,593,2899,2777,2735,2910,2782,2758,1515,2624,2601,2653,2746,2908,2638,2676,2497,2497,2709,2476
GS32,1020,594,2745,2681,2617,2783,2647,2654,1469,2526,2494,2506,2637,2808,2527,2534,2384,2400,2601,2395
GS32,1020,595,2683,2574,2513,2705,2603,2580,1429,2419,2413,2440,2580,2732,2444,2476,2322,2315,2519,2318
GS32,1020,596,2602,2489,2455,2618,2527,2480,1393,2373,2330,2402,2480,2640,2379,2417,2254,2274,2420,2277
GS32,1020,597,2521,2458,2396,2546,2480,2436,1339,2317,2290,2319,2414,2568,2321,2337,2176,2183,2378,2192
GS32,1020,598,2389,2311,2283,2432,2317,2315,1286,2194,2187,2198,2289,2426,2216,2229,2086,2099,2261,2097
GS32,1020,599,2310,2254,2199,2352,2259,2229,1238,2122,2092,2120,2233,2372,2135,2135,2002,2022,2161,2024
GS32,1020,600,2278,2165,2133,2285,2209,2165,1209,2026,2061,2068,2173,2289,2064,2083,1969,1982,2102,1958
