,,Well,,,,,,,,,,,,,E01,E02,E03,E04,E05,E06,,,,,,,,,,,,,D01,D02,D03,D04,D05,D06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,wt %,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA S3,1020,458,3830,3295,3594,3607,3286,3352,0,0,0,0,0,0,4387,4055,3904,3501,3144,3546,0,0,0,0,0,0,0,0,0,0,0,0,3738,3473,3237,2850,2510,2439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4447,4515,4783,4693,4799,5092,3914,4982,5509,5170,5347,5402
PUMA S3,1020,459,4563,3899,4264,4273,3873,3982,0,0,0,0,0,0,5153,4776,4598,4132,3660,4119,0,0,0,0,0,0,0,0,0,0,0,0,4385,4063,3793,3342,2951,2836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5226,5296,5603,5511,5615,5993,4588,5861,6478,6071,6309,6347
PUMA S3,1020,460,5294,4557,4982,4971,4541,4616,0,0,0,0,0,0,5949,5507,5331,4760,4258,4780,0,0,0,0,0,0,0,0,0,0,0,0,5082,4743,4391,3886,3404,3288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6069,6130,6511,6397,6541,6943,5345,6799,7567,7118,7357,7381
PUMA S3,1020,461,6101,5205,5746,5715,5217,5310,0,0,0,0,0,0,6808,6264,6079,5421,4820,5431,0,0,0,0,0,0,0,0,0,0,0,0,5810,5386,4994,4422,3864,3746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6905,7041,7399,7298,7447,7924,6084,7779,8644,8131,8412,8488
PUMA S3,1020,462,7007,5999,6559,6569,5983,6090,0,0,0,0,0,0,7758,7210,6940,6209,5502,6206,0,0,0,0,0,0,0,0,0,0,0,0,6643,6167,5715,5040,4433,4277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7908,8051,8504,8375,8518,9091,6978,8931,9918,9307,9628,9728
PUMA S3,1020,463,8017,6885,7543,7526,6851,6959,0,0,0,0,0,0,8908,8219,7908,7080,6309,7074,0,0,0,0,0,0,0,0,0,0,0,0,7579,7058,6562,5723,5039,4880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9020,9167,9705,9545,9710,10375,7999,10225,11340,10679,11114,11158
PUMA S3,1020,464,8940,7654,8369,8360,7595,7749,0,0,0,0,0,0,9868,9071,8803,7844,6942,7840,0,0,0,0,0,0,0,0,0,0,0,0,8369,7809,7238,6337,5603,5400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9998,10189,10726,10546,10727,11463,8875,11376,12625,11852,12363,12415
PUMA S3,1020,465,9862,8447,9280,9278,8411,8581,0,0,0,0,0,0,10896,10058,9696,8647,7658,8659,0,0,0,0,0,0,0,0,0,0,0,0,9250,8637,8014,6997,6189,5971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11057,11209,11883,11697,11836,12678,9757,12557,14011,13193,13667,13728
PUMA S3,1020,466,10907,9309,10238,10253,9290,9459,0,0,0,0,0,0,11940,11076,10639,9508,8457,9523,0,0,0,0,0,0,0,0,0,0,0,0,10215,9539,8839,7738,6776,6566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12129,12363,13048,12895,13061,13970,10799,13928,15485,14603,15110,15281
PUMA S3,1020,467,11682,10032,10999,10997,9979,10155,0,0,0,0,0,0,12823,11845,11416,10204,9044,10189,0,0,0,0,0,0,0,0,0,0,0,0,10957,10222,9492,8317,7332,7037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13034,13234,14044,13755,14019,14953,11639,14932,16620,15703,16304,16395
PUMA S3,1020,468,12474,10713,11739,11713,10635,10799,0,0,0,0,0,0,13696,12637,12192,10869,9656,10875,0,0,0,0,0,0,0,0,0,0,0,0,11689,10892,10110,8881,7801,7532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13870,14171,14921,14686,14938,15989,12434,16020,17769,16803,17385,17561
PUMA S3,1020,469,13307,11414,12553,12486,11376,11499,0,0,0,0,0,0,14559,13418,12972,11548,10312,11555,0,0,0,0,0,0,0,0,0,0,0,0,12415,11598,10784,9430,8314,7981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14753,14979,15871,15679,15920,16973,13184,17031,18963,17894,18651,18810
PUMA S3,1020,470,13908,11975,13060,13085,11912,12103,0,0,0,0,0,0,15178,14086,13535,12095,10746,12094,0,0,0,0,0,0,0,0,0,0,0,0,13024,12087,11290,9885,8677,8398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15445,15695,16640,16350,16656,17799,13850,17923,19864,18827,19563,19674
