,,Well,,,,,,,,,,,,,E01,E02,E03,E04,E05,E06,,,,,,,,,,,,,D01,D02,D03,D04,D05,D06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,wt %,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
FUS,1020,458,5430,4052,5742,5268,5266,5153,0,0,0,0,0,0,5085,5515,4131,4674,4706,4165,0,0,0,0,0,0,0,0,0,0,0,0,5264,4395,3885,3781,3152,2837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3775,5278,4398,6946,6994,6769,6398,4017,6434,6233,7378,7420
FUS,1020,459,6431,4807,6796,6210,6229,6093,0,0,0,0,0,0,5983,6485,4860,5503,5560,4899,0,0,0,0,0,0,0,0,0,0,0,0,6190,5170,4610,4433,3715,3320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4423,6221,5191,8158,8259,8007,7536,4746,7606,7408,8767,8782
FUS,1020,460,7511,5601,7892,7245,7244,7089,0,0,0,0,0,0,6947,7519,5621,6357,6391,5661,0,0,0,0,0,0,0,0,0,0,0,0,7137,5985,5310,5137,4304,3851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5120,7179,6018,9471,9558,9283,8778,5509,8880,8592,10177,10179
FUS,1020,461,8583,6394,9053,8271,8293,8139,0,0,0,0,0,0,7951,8584,6403,7282,7299,6431,0,0,0,0,0,0,0,0,0,0,0,0,8184,6829,6052,5865,4878,4371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5874,8213,6866,10805,10894,10596,10027,6296,10107,9847,11672,11644
FUS,1020,462,9801,7357,10372,9511,9522,9303,0,0,0,0,0,0,9080,9813,7318,8299,8306,7295,0,0,0,0,0,0,0,0,0,0,0,0,9295,7805,6918,6703,5597,4987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6713,9345,7849,12327,12518,12128,11449,7235,11644,11334,13394,13409
FUS,1020,463,11257,8421,11916,10943,10925,10680,0,0,0,0,0,0,10387,11203,8380,9481,9547,8372,0,0,0,0,0,0,0,0,0,0,0,0,10693,8940,7898,7654,6416,5717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7666,10687,8955,14143,14302,13855,13173,8310,13374,12953,15318,15397
FUS,1020,464,12518,9330,13219,12127,12151,11895,0,0,0,0,0,0,11505,12472,9311,10545,10568,9285,0,0,0,0,0,0,0,0,0,0,0,0,11818,9903,8792,8532,7102,6320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8501,11876,9959,15684,15866,15321,14607,9252,14857,14424,17118,17080
FUS,1020,465,13845,10337,14636,13441,13418,13119,0,0,0,0,0,0,12671,13744,10249,11555,11610,10227,0,0,0,0,0,0,0,0,0,0,0,0,13068,10896,9664,9360,7830,6936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9370,13103,10894,17251,17462,16969,16160,10218,16495,15970,18963,18916
FUS,1020,466,15242,11429,16072,14843,14784,14519,0,0,0,0,0,0,13976,15182,11312,12809,12796,11263,0,0,0,0,0,0,0,0,0,0,0,0,14392,12062,10638,10270,8625,7676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10329,14461,12055,18983,19250,18664,17822,11344,18294,17719,20966,21000
FUS,1020,467,16375,12259,17328,15959,15917,15593,0,0,0,0,0,0,14998,16253,12146,13753,13722,12144,0,0,0,0,0,0,0,0,0,0,0,0,15405,12933,11434,11080,9283,8265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11129,15530,12949,20449,20673,20079,19256,12187,19597,19079,22634,22672
FUS,1020,468,17488,13065,18483,16943,16922,16612,0,0,0,0,0,0,16006,17310,12884,14601,14576,12833,0,0,0,0,0,0,0,0,0,0,0,0,16441,13824,12187,11758,9898,8807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11802,16531,13820,21711,22030,21345,20503,13054,20944,20402,24110,24239
FUS,1020,469,18625,13963,19647,18022,18050,17673,0,0,0,0,0,0,16997,18440,13727,15515,15521,13662,0,0,0,0,0,0,0,0,0,0,0,0,17495,14658,13002,12551,10503,9346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12584,17608,14668,23125,23336,22780,21888,13851,22387,21842,25816,25877
FUS,1020,470,19512,14599,20617,18958,18899,18546,0,0,0,0,0,0,17812,19309,14379,16236,16300,14309,0,0,0,0,0,0,0,0,0,0,0,0,18280,15344,13608,13084,10998,9787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13204,18379,15408,24179,24484,23798,22939,14636,23502,22933,27233,27242
FUS,1020,471,19996,14971,21147,19428,19383,18929,0,0,0,0,0,0,18275,19737,14795,16689,16706,14679,0,0,0,0,0,0,0,0,0,0,0,0,18794,15739,13966,13459,11310,10067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13502,18910,15800,24776,25081,24449,23524,15006,24238,23595,27892,28029
