Frame,Integrated_Intensity,Mean_Intensity,Subtracted_Integrated_Intensity,Subtracted_Mean_Intensity,Rg_(A),Rger_(A),I0,I0er,MW_Vc_(kDa),MWer_Vc_(kDa),MW_Vp_(kDa),File_Name
39,1.13231402E-02,3.27259935E-02,-2.68402678E-05,-8.02317081E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0040.tif
40,1.13472163E-02,3.27973440E-02,-2.76418778E-06,-8.87957049E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0041.tif
41,1.13373374E-02,3.27656195E-02,-1.26430749E-05,-4.06070394E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0042.tif
42,1.13362548E-02,3.27684805E-02,-1.37256518E-05,-3.77410470E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0043.tif
43,1.13416358E-02,3.27816270E-02,-8.34460763E-06,-2.45996071E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0044.tif
44,1.13400104E-02,3.27734686E-02,-9.96997797E-06,-3.27552771E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0045.tif
45,1.13491486E-02,3.28054167E-02,-8.31791626E-07,-8.09872915E-07,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0046.tif
46,1.13377492E-02,3.27693298E-02,-1.22312541E-05,-3.68946239E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0047.tif
47,1.13294862E-02,3.27437334E-02,-2.04942023E-05,-6.24952445E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0048.tif
48,1.13352303E-02,3.27649601E-02,-1.47501598E-05,-4.12647714E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS07_026_0049.tif
