,,Well,,,,,,,,,,,,,E01,E02,E03,E04,E05,E06,,,,,,,,,,,,,D01,D02,D03,D04,D05,D06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,wt %,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
FUS,1020,458,5254,5187,4700,5469,5880,4840,0,0,0,0,0,0,3436,5502,4744,4822,4589,4005,0,0,0,0,0,0,0,0,0,0,0,0,3881,4713,3686,2652,2477,3369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6364,6663,5626,6671,7152,7446,4849,5653,5076,7057,7535,7710
FUS,1020,459,6249,6161,5562,6470,6954,5740,0,0,0,0,0,0,4044,6455,5545,5661,5403,4696,0,0,0,0,0,0,0,0,0,0,0,0,4588,5602,4331,3123,2859,3937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7499,7823,6604,7890,8467,8759,5723,6715,6002,8385,8955,9142
FUS,1020,460,7279,7121,6462,7517,8061,6668,0,0,0,0,0,0,4690,7521,6426,6565,6266,5429,0,0,0,0,0,0,0,0,0,0,0,0,5288,6460,5014,3611,3342,4552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8712,9063,7629,9177,9792,10220,6646,7793,6997,9767,10434,10644
FUS,1020,461,8280,8201,7421,8640,9228,7611,0,0,0,0,0,0,5382,8574,7350,7529,7140,6203,0,0,0,0,0,0,0,0,0,0,0,0,6044,7346,5737,4139,3813,5170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9966,10362,8699,10417,11209,11659,7573,8932,8028,11188,11978,12195
FUS,1020,462,9609,9481,8576,9952,10635,8796,0,0,0,0,0,0,6171,9773,8400,8565,8167,7053,0,0,0,0,0,0,0,0,0,0,0,0,6898,8462,6538,4741,4356,5917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11369,11828,9970,11995,12802,13333,8756,10270,9212,12824,13755,13977
FUS,1020,463,10915,10791,9769,11370,12104,10071,0,0,0,0,0,0,7018,11175,9618,9803,9323,8062,0,0,0,0,0,0,0,0,0,0,0,0,7907,9701,7515,5405,4990,6768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12999,13573,11431,13716,14669,15249,10013,11791,10595,14753,15872,16047
FUS,1020,464,12180,12013,10832,12656,13487,11176,0,0,0,0,0,0,7776,12373,10642,10825,10299,8938,0,0,0,0,0,0,0,0,0,0,0,0,8790,10710,8318,6008,5540,7484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14396,15029,12618,15192,16247,16926,11118,13073,11747,16389,17552,17867
FUS,1020,465,13424,13267,12013,14002,14913,12276,0,0,0,0,0,0,8552,13655,11722,11960,11392,9852,0,0,0,0,0,0,0,0,0,0,0,0,9653,11825,9171,6615,6075,8251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15906,16604,13998,16729,17955,18674,12307,14505,13042,18177,19466,19842
FUS,1020,466,14833,14616,13210,15421,16481,13620,0,0,0,0,0,0,9466,15121,12913,13201,12533,10865,0,0,0,0,0,0,0,0,0,0,0,0,10691,13051,10125,7334,6704,9077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17512,18267,15429,18408,19701,20565,13544,15996,14354,20157,21582,22016
FUS,1020,467,15908,15696,14225,16528,17744,14639,0,0,0,0,0,0,10149,16192,13898,14199,13478,11639,0,0,0,0,0,0,0,0,0,0,0,0,11473,14010,10888,7879,7219,9790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18814,19648,16534,19772,21187,22146,14593,17282,15508,21692,23235,23702
FUS,1020,468,16957,16800,15160,17632,18828,15559,0,0,0,0,0,0,10820,17299,14798,15086,14413,12448,0,0,0,0,0,0,0,0,0,0,0,0,12189,14941,11583,8365,7680,10433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20053,20866,17620,21118,22608,23512,15626,18427,16576,23209,24859,25424
FUS,1020,469,18057,17801,16102,18690,20067,16546,0,0,0,0,0,0,11534,18327,15789,16051,15293,13253,0,0,0,0,0,0,0,0,0,0,0,0,13001,15937,12376,8899,8195,11086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21283,22218,18709,22434,24018,25070,16610,19636,17704,24749,26577,27112
FUS,1020,470,18916,18721,16912,19689,21054,17414,0,0,0,0,0,0,12116,19260,16537,16855,16019,13835,0,0,0,0,0,0,0,0,0,0,0,0,13618,16628,12982,9345,8608,11616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22389,23331,19653,23498,25182,26306,17465,20672,18693,26056,28004,28543
FUS,1020,471,19428,19175,17363,20185,21595,17832,0,0,0,0,0,0,12421,19743,16961,17271,16442,14178,0,0,0,0,0,0,0,0,0,0,0,0,13972,17094,13302,9609,8787,11915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22985,23887,20132,24105,25787,26925,17923,21261,19183,26821,28801,29336
