,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,D01,D02,D03,D04,D05,D06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS24,1020,497,35740,34763,34943,34355,34412,35062,38369,37738,38237,34273,33127,33802,40622,37423,35005,32406,32111,32947
GS24,1020,498,37120,36145,36284,35800,35792,36419,39298,38774,39267,35437,34255,35085,41592,38331,36036,33487,33140,34142
GS24,1020,499,38849,37782,37892,37431,37472,38112,40483,39866,40600,36556,35609,36553,42797,39474,37205,34619,34463,35574
GS24,1020,500,40496,39399,39439,38949,39151,39735,41573,41044,41729,37742,36798,38028,44031,40595,38185,35742,35619,36836
GS24,1020,501,42323,41308,41226,40751,40922,41642,42814,42317,43027,39104,38200,39556,45318,41747,39467,36910,37091,38455
GS24,1020,502,45501,44285,44549,43847,43983,44663,45324,44682,45582,41692,40786,42453,47971,44205,41853,39390,39754,41342
GS24,1020,503,47641,46363,46513,45888,46043,46658,46619,45987,47011,43078,42361,44271,49153,45355,43109,40759,41283,43095
GS24,1020,504,50496,49240,49401,48757,48920,49700,48793,47991,49368,45331,44803,47007,51366,47351,45092,42757,43503,45651
GS24,1020,505,54339,52980,53067,52522,52656,53267,51577,50834,52401,48274,48024,50588,54331,50044,47912,45585,46595,49144
GS24,1020,506,57045,55686,55576,55192,55115,55905,53363,52608,54284,50310,50096,53111,56298,52002,49683,47388,48765,51773
GS24,1020,507,60553,59169,59143,58293,58521,59311,55876,54993,56800,52873,53009,56447,58681,54351,52143,49965,51565,54804
GS24,1020,508,64144,62620,62632,62002,62034,62821,58644,57721,59768,55813,56120,59943,61424,56993,54784,52802,54662,58423
GS24,1020,509,67477,65854,65824,65096,65262,66037,61077,60286,62439,58392,58979,63303,64141,59424,57307,55334,57366,61621
GS24,1020,510,70682,69066,69055,68301,68326,69275,63398,62673,65085,61178,61923,66691,66579,61553,59675,57735,60346,64940
GS24,1020,511,73869,72092,72157,71380,71574,72439,65876,64870,67593,63755,64679,70068,68932,63985,62129,60191,62993,68173
GS24,1020,512,76407,74929,74783,73992,74141,75041,68007,67161,69955,66136,67342,72983,71375,66170,64171,62557,65703,71446
GS24,1020,513,78807,77320,77109,76369,76452,77374,69910,69035,71806,68214,69557,75605,73205,67980,66415,64586,67836,73850
GS24,1020,514,80496,78951,78912,77984,78051,78853,71130,70160,73211,69587,71207,77810,74755,69173,67705,66293,69943,76016
GS24,1020,515,82058,80350,80166,79515,79611,80472,72311,71817,74942,71234,72865,79842,76052,70575,69042,67503,71436,78184
GS24,1020,516,82638,81112,80732,80085,80234,81247,73210,72313,75571,71888,73710,80847,76501,71244,69680,68352,72189,79246
