,,Well,,,,,,,,,,,,,E07,E08,E09,E10,E11,E12,,,,,,,,,,,,,D07,D08,D09,D10,D11,D12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,wt %,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA S2,1020,458,3386,3010,2761,2685,3092,3151,0,0,0,0,0,0,1685,3608,3123,3016,3330,3056,0,0,0,0,0,0,0,0,0,0,0,0,2531,3175,3050,2818,3182,2526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3863,3519,3733,3999,3305,4086,3813,3965,3573,4102,4776,4594
PUMA S2,1020,459,4011,3566,3263,3181,3623,3723,0,0,0,0,0,0,1984,4237,3698,3548,3905,3555,0,0,0,0,0,0,0,0,0,0,0,0,2979,3773,3593,3299,3728,2955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4568,4163,4395,4691,3886,4798,4500,4663,4236,4830,5619,5394
PUMA S2,1020,460,4663,4151,3813,3694,4205,4316,0,0,0,0,0,0,2289,4929,4283,4096,4524,4123,0,0,0,0,0,0,0,0,0,0,0,0,3476,4378,4165,3820,4304,3440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5276,4798,5077,5441,4516,5585,5220,5400,4917,5628,6539,6286
PUMA S2,1020,461,5369,4767,4369,4210,4851,4953,0,0,0,0,0,0,2625,5589,4890,4655,5125,4670,0,0,0,0,0,0,0,0,0,0,0,0,3958,4965,4784,4357,4907,3893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6031,5495,5836,6202,5159,6329,5974,6220,5626,6473,7504,7170
PUMA S2,1020,462,6139,5493,5027,4835,5549,5665,0,0,0,0,0,0,2993,6400,5605,5337,5881,5370,0,0,0,0,0,0,0,0,0,0,0,0,4555,5692,5435,4974,5589,4431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6908,6256,6659,7096,5900,7254,6887,7105,6426,7409,8599,8253
PUMA S2,1020,463,7044,6326,5760,5576,6370,6510,0,0,0,0,0,0,3411,7329,6375,6093,6703,6083,0,0,0,0,0,0,0,0,0,0,0,0,5198,6511,6244,5719,6426,5077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7907,7125,7612,8125,6719,8305,7885,8158,7364,8470,9824,9487
PUMA S2,1020,464,7827,7014,6394,6175,7073,7241,0,0,0,0,0,0,3788,8169,7065,6726,7419,6738,0,0,0,0,0,0,0,0,0,0,0,0,5751,7257,6912,6365,7100,5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8746,7920,8429,8992,7452,9172,8702,9060,8199,9423,10927,10495
PUMA S2,1020,465,8698,7777,7096,6848,7840,8013,0,0,0,0,0,0,4187,8989,7786,7447,8230,7454,0,0,0,0,0,0,0,0,0,0,0,0,6372,7979,7642,6968,7870,6213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9633,8811,9317,9942,8203,10075,9642,10000,9069,10450,12133,11609
PUMA S2,1020,466,9570,8589,7832,7576,8660,8819,0,0,0,0,0,0,4632,9903,8640,8234,9007,8217,0,0,0,0,0,0,0,0,0,0,0,0,7041,8832,8427,7747,8651,6834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10634,9695,10286,10970,9055,11140,10632,11072,10055,11581,13453,12878
PUMA S2,1020,467,10284,9207,8398,8151,9328,9487,0,0,0,0,0,0,4977,10647,9266,8831,9666,8795,0,0,0,0,0,0,0,0,0,0,0,0,7539,9494,9031,8263,9299,7354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11410,10360,11027,11781,9741,11930,11450,11901,10820,12478,14453,13872
PUMA S2,1020,468,10959,9855,8975,8697,9958,10140,0,0,0,0,0,0,5288,11352,9886,9428,10284,9387,0,0,0,0,0,0,0,0,0,0,0,0,8076,10150,9709,8861,9920,7836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12181,11107,11768,12491,10397,12732,12179,12713,11589,13258,15437,14857
PUMA S2,1020,469,11692,10463,9561,9220,10602,10781,0,0,0,0,0,0,5636,12074,10526,10033,11009,9958,0,0,0,0,0,0,0,0,0,0,0,0,8581,10783,10278,9398,10568,8323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13015,11818,12508,13371,11054,13614,13084,13599,12370,14186,16470,15940
PUMA S2,1020,470,12265,10989,10001,9688,11071,11329,0,0,0,0,0,0,5913,12668,11013,10492,11513,10423,0,0,0,0,0,0,0,0,0,0,0,0,9039,11275,10827,9907,11079,8773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13593,12352,13154,13980,11618,14171,13631,14225,12947,14908,17294,16672
