,,Well,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,wt %,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA S1,1020,487,9122,9171,9409,4362,10363,6557,11306,11991,13396,8409,7087,10499,9403,12866,10589,10207,9063,7663
PUMA S1,1020,488,9060,9074,9291,4302,10211,6462,11136,11746,13129,8262,6993,10306,9266,12601,10412,10058,8892,7545
PUMA S1,1020,489,9024,9066,9260,4307,10153,6456,11040,11735,12982,8184,6973,10292,9201,12562,10346,9980,8880,7519
PUMA S1,1020,490,9153,9183,9378,4374,10291,6567,11110,11798,13133,8272,7004,10362,9305,12646,10410,10079,8950,7581
PUMA S1,1020,491,9156,9154,9358,4406,10303,6587,11049,11741,13005,8239,6933,10319,9220,12547,10359,9974,8924,7567
PUMA S1,1020,492,9301,9357,9526,4483,10415,6673,11153,11814,13131,8341,7061,10464,9326,12666,10459,10120,9006,7650
PUMA S1,1020,493,9571,9610,9799,4634,10727,6884,11354,12008,13343,8513,7244,10661,9492,12848,10640,10319,9242,7806
PUMA S1,1020,494,9833,9833,10056,4749,10992,7050,11562,12185,13542,8637,7357,10910,9679,13073,10815,10502,9377,8016
PUMA S1,1020,495,10314,10302,10532,4939,11395,7360,11844,12530,13910,8900,7591,11239,9923,13411,11131,10810,9648,8278
PUMA S1,1020,496,10602,10623,10816,5146,11713,7589,12153,12772,14177,9124,7803,11539,10160,13650,11352,11051,9926,8543
PUMA S1,1020,497,11069,11102,11350,5398,12261,7924,12514,13159,14668,9466,8079,11991,10497,14121,11772,11444,10293,8884
PUMA S1,1020,498,11578,11596,11847,5655,12781,8289,12879,13491,15028,9703,8363,12448,10810,14501,12065,11817,10637,9268
PUMA S1,1020,499,12348,12403,12639,6073,13593,8814,13535,14161,15815,10211,8878,13198,11346,15198,12681,12446,11239,9839
PUMA S1,1020,500,13054,13084,13324,6412,14322,9300,13958,14688,16391,10662,9240,13843,11773,15753,13248,12911,11781,10343
PUMA S1,1020,501,13801,13866,14091,6791,15098,9821,14463,15244,17053,11077,9702,14519,12249,16261,13699,13510,12297,10859
PUMA S1,1020,502,14979,15071,15338,7432,16371,10702,15505,16198,18195,11935,10445,15730,13057,17332,14699,14485,13298,11835
PUMA S1,1020,503,15854,15935,16274,7902,17327,11314,16107,16830,18915,12474,11000,16551,13620,18051,15271,15214,13981,12549
PUMA S1,1020,504,17035,17146,17423,8512,18587,12101,17024,17758,19915,13208,11702,17779,14378,19014,16208,16117,14858,13449
PUMA S1,1020,505,18295,18429,18743,9167,19894,13015,17951,18797,21101,14032,12461,18996,15231,20086,17199,17190,15919,14479
PUMA S1,1020,506,19573,19631,19972,9820,21290,13881,18917,19689,22325,14920,13216,20227,15975,21121,18089,18149,16894,15486
PUMA S1,1020,507,20839,20924,21256,10460,22595,14834,19839,20735,23376,15745,14050,21498,16865,22148,19070,19173,17917,16527
PUMA S1,1020,508,22437,22491,22959,11297,24313,15986,21084,21996,24922,16783,15073,23186,17965,23609,20386,20597,19228,17858
PUMA S1,1020,509,23768,23933,24372,12005,25755,16923,22169,23164,26341,17819,15972,24675,18888,24798,21518,21767,20426,19047
PUMA S1,1020,510,25056,25183,25569,12687,27087,17780,23163,24218,27440,18688,16801,26042,19738,25925,22404,22752,21519,20081
PUMA S1,1020,511,26110,26261,26664,13228,28227,18628,23912,24960,28450,19359,17504,27116,20491,26913,23309,23729,22332,21026
PUMA S1,1020,512,27496,27647,28110,14004,29826,19584,25139,26225,29869,20418,18508,28715,21410,28180,24561,25011,23585,22281
PUMA S1,1020,513,28444,28653,29059,14498,30916,20245,25851,26997,30811,20963,19155,29685,22107,29099,25350,25850,24430,23175
PUMA S1,1020,514,29074,29292,29665,14809,31543,20722,26337,27522,31380,21510,19610,30488,22601,29629,25870,26487,25056,23734
