,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
fGS16del (GS0),1020,493,11357,12026,11142,11567,12814,11415,12611,12113,10936,11037,12209,7523,11666,11992,11224,10828,11270,10925
fGS16del (GS0),1020,494,11639,12277,11423,11829,13123,11666,12893,12310,11226,11337,12516,7696,11909,12227,11496,11121,11538,11150
fGS16del (GS0),1020,495,12183,12869,11941,12351,13702,12215,13333,12787,11788,11868,12977,8008,12307,12614,11963,11588,11968,11578
fGS16del (GS0),1020,496,12547,13230,12271,12710,14114,12576,13640,13075,12092,12205,13286,8230,12634,12936,12397,11952,12277,11990
fGS16del (GS0),1020,497,13192,13895,12972,13290,14856,13175,14223,13579,12730,12810,13898,8662,13166,13461,12986,12570,12857,12582
fGS16del (GS0),1020,498,13901,14704,13617,13984,15619,13839,14855,14178,13374,13479,14607,9073,13723,14022,13631,13236,13420,13218
fGS16del (GS0),1020,499,14616,15446,14392,14666,16452,14562,15506,14769,14068,14206,15270,9604,14324,14620,14407,13918,14107,13911
fGS16del (GS0),1020,500,15543,16355,15255,15513,17449,15447,16286,15477,14941,15069,16202,10166,15088,15375,15272,14811,14885,14698
fGS16del (GS0),1020,501,16497,17380,16211,16391,18537,16418,17157,16320,15870,16023,17142,10784,15828,16101,16151,15680,15674,15614
fGS16del (GS0),1020,502,17973,18948,17637,17765,20171,17887,18527,17619,17311,17383,18617,11770,17089,17399,17621,17059,17053,17044
fGS16del (GS0),1020,503,19123,20094,18675,18838,21366,18874,19490,18552,18312,18495,19736,12567,17972,18224,18640,18151,18000,18123
fGS16del (GS0),1020,504,20426,21505,20090,20100,22873,20276,20756,19784,19648,19840,21175,13496,19102,19421,20018,19408,19315,19495
fGS16del (GS0),1020,505,22382,23640,21969,21977,25110,22176,22538,21442,21545,21713,23150,14863,20814,21103,21836,21353,21083,21421
fGS16del (GS0),1020,506,23728,24949,23332,23271,26681,23543,23762,22645,22876,23014,24620,15857,21940,22195,23165,22576,22358,22784
fGS16del (GS0),1020,507,25591,26892,25037,25054,28699,25386,25500,24285,24586,24737,26588,17115,23398,23779,24956,24293,24154,24682
fGS16del (GS0),1020,508,27261,28761,26832,26713,30619,27066,27137,25942,26205,26453,28487,18415,25001,25352,26616,25951,25800,26519
fGS16del (GS0),1020,509,29128,30676,28585,28428,32658,28843,28819,27461,27861,28185,30448,19665,26579,26864,28442,27678,27573,28358
fGS16del (GS0),1020,510,30761,32581,30338,30117,34616,30646,30581,29262,29791,30001,32521,21048,28116,28587,30156,29459,29465,30424
fGS16del (GS0),1020,511,32459,34226,32004,31713,36579,32296,32063,30738,31210,31481,34268,22260,29493,30013,31676,30855,31043,32120
