Q,I(Q),Error
5.15512613E-02,1.20597929E-02,1.81400983E-04
5.18368639E-02,1.17631294E-02,1.81088752E-04
5.21224664E-02,1.16940290E-02,1.81280442E-04
5.24080690E-02,1.19128600E-02,1.82911912E-04
5.26936715E-02,1.18160322E-02,1.83262575E-04
5.29792741E-02,1.16827488E-02,1.82648105E-04
5.32648766E-02,1.14269108E-02,1.81145759E-04
5.35504792E-02,1.12555847E-02,1.82513097E-04
5.38360817E-02,1.11120455E-02,1.82887640E-04
5.41216843E-02,1.14035569E-02,1.82282616E-04
5.44072869E-02,1.12389810E-02,1.85327303E-04
5.46928894E-02,1.07519478E-02,1.81494918E-04
5.49784920E-02,1.09816007E-02,1.84826292E-04
5.52640945E-02,1.07824206E-02,1.80566490E-04
5.55496971E-02,1.10439472E-02,1.85292818E-04
5.58352996E-02,1.08833015E-02,1.83178050E-04
5.61209022E-02,1.07602179E-02,1.83272000E-04
5.64065047E-02,1.06865279E-02,1.85411009E-04
5.66921073E-02,1.05780996E-02,1.80168665E-04
5.69777099E-02,1.05495788E-02,1.83671467E-04
5.72633124E-02,1.02567449E-02,1.80538308E-04
5.75489150E-02,1.00933872E-02,1.81520142E-04
5.78345175E-02,1.02441199E-02,1.82802511E-04
5.81201201E-02,1.01582669E-02,1.80256718E-04
5.84057226E-02,9.89897177E-03,1.81037061E-04
5.86913252E-02,9.87689942E-03,1.78874673E-04
5.89769278E-02,9.68176499E-03,1.80403366E-04
5.92625303E-02,1.00197457E-02,1.79556910E-04
5.95481329E-02,9.65566561E-03,1.79889211E-04
5.98337354E-02,9.85182822E-03,1.81302003E-04
6.01193380E-02,9.63322818E-03,1.76233345E-04
6.04049405E-02,9.59607214E-03,1.80950914E-04
6.06905431E-02,9.29797813E-03,1.76454971E-04
6.09761456E-02,9.38811153E-03,1.78682180E-04
6.12617482E-02,9.17858258E-03,1.78699647E-04
6.15473508E-02,9.40873101E-03,1.75984660E-04
6.18329533E-02,9.32344794E-03,1.78658201E-04
6.21185559E-02,9.06002894E-03,1.74704788E-04
6.24041584E-02,8.69808346E-03,1.76386165E-04
6.26897610E-02,8.93393159E-03,1.75380590E-04
6.29753635E-02,8.79290700E-03,1.76234828E-04
6.32609661E-02,9.21906158E-03,1.78283841E-04
6.35465686E-02,8.70148093E-03,1.73410460E-04
6.38321712E-02,8.82178918E-03,1.75119213E-04
6.41177738E-02,8.74340162E-03,1.74253427E-04
6.44033763E-02,8.47816840E-03,1.73960194E-04
6.46889789E-02,8.46361369E-03,1.75435278E-04
6.49745814E-02,8.48389044E-03,1.71617195E-04
6.52601840E-02,8.08781758E-03,1.74701058E-04
6.55457865E-02,8.14532861E-03,1.72464948E-04
6.58313891E-02,8.17463547E-03,1.71818947E-04
6.61169916E-02,8.26076791E-03,1.78604042E-04
6.64025942E-02,7.99980015E-03,1.80663293E-04
6.66881968E-02,8.17052647E-03,1.85044785E-04
6.69737993E-02,7.90086016E-03,1.82747955E-04
6.72594019E-02,7.87943974E-03,1.86653030E-04
6.75450044E-02,8.27566534E-03,1.87284919E-04
6.78306070E-02,7.80123100E-03,1.89864080E-04
6.81162095E-02,8.08221102E-03,1.91349967E-04
6.84018121E-02,7.85349682E-03,1.89145555E-04
6.86874146E-02,7.62214884E-03,1.93884229E-04
6.89730172E-02,7.60296360E-03,1.91873485E-04
6.92586198E-02,7.61812553E-03,1.94992022E-04
