,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
E1A,1020,498,15125,14999,15181,14966,14571,15060,15308,16539,16054,15853,14367,13995,14854,14368,14010,14065,13584,13223
E1A,1020,499,16840,16708,16854,16735,16218,16786,16675,17817,17296,17059,15490,15048,16249,15612,15147,15132,14721,14317
E1A,1020,500,18487,18399,18530,18265,17863,18419,17969,19064,18417,18191,16508,15970,17549,16775,16177,16236,15682,15371
E1A,1020,501,20440,20338,20482,20132,19644,20256,19469,20426,19679,19421,17606,17193,19029,18043,17394,17509,16875,16605
E1A,1020,502,23210,23050,23118,22841,22318,22940,21692,22617,21766,21437,19471,18883,21235,20038,19217,19338,18595,18344
E1A,1020,503,25639,25423,25568,25141,24560,25337,23500,24388,23374,23043,20948,20303,23017,21649,20743,20816,20132,19812
E1A,1020,504,28506,28195,28412,27980,27259,28126,25801,26635,25460,25145,22767,22087,25333,23699,22667,22778,22049,21777
E1A,1020,505,31666,31301,31432,30919,30198,30964,28342,29046,27784,27365,24808,24004,27769,25858,24811,24862,24094,23743
E1A,1020,506,34791,34514,34682,34055,33295,34228,30881,31539,30205,29790,26987,26191,30349,28186,26986,27063,26187,25963
E1A,1020,507,38181,37829,38020,37343,36518,37478,33822,34358,32711,32341,29245,28417,33181,30681,29312,29530,28461,28283
E1A,1020,508,42031,41731,41846,41097,40148,41274,36925,37448,35698,35182,31910,30996,36211,33608,31922,32246,31204,30933
E1A,1020,509,45614,45329,45279,44694,43705,44782,39852,40342,38351,38026,34460,33539,39244,36224,34624,34822,33739,33518
E1A,1020,510,48737,48452,48494,47641,46730,47710,42556,43054,40811,40486,36755,35658,41924,38652,36905,37111,35960,35827
E1A,1020,511,51956,51498,51613,50719,49623,50956,45320,45726,43426,43059,38997,37966,44514,41116,39197,39547,38361,38203
E1A,1020,512,55449,55108,55065,54190,53024,54454,48143,48579,46350,45816,41692,40448,47396,43752,41761,42232,40880,40837
E1A,1020,513,57759,57262,57520,56249,55436,56853,50267,50758,48271,47914,43334,42287,49453,45651,43635,44042,42820,42849
E1A,1020,514,59805,59207,59632,58460,57456,58906,52045,52620,50124,49596,45050,43883,51248,47424,45225,45708,44442,44413
E1A,1020,515,61336,60799,60740,59754,58737,60347,53330,53886,51313,50778,46239,44953,52584,48444,46368,46799,45568,45623
E1A,1020,516,62325,61967,61970,60935,59746,61518,54290,54919,52237,51806,47099,45858,53617,49420,47420,47943,46648,46772
E1A,1020,517,62587,62081,62238,60975,60076,61719,54593,55217,52638,52267,47423,46054,53755,49673,47567,48202,46975,47109
