,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C01,C02,C03,C04,C05,C06,,,,,,,,,,,,
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Ficoll,Ficoll,Ficoll,Ficoll,Ficoll,Ficoll,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,Glycerol,Glycerol,Glycerol,Glycerol,Glycerol,Glycerol,PEG200,PEG200,PEG200,PEG200,PEG200,PEG200,PEG1500,PEG1500,PEG1500,PEG1500,PEG1500,PEG1500,PEG4000,PEG4000,PEG4000,PEG4000,PEG4000,PEG4000,PEG8000,PEG8000,PEG8000,PEG8000,PEG8000,PEG8000,Sucrose,Sucrose,Sucrose,Sucrose,Sucrose,Sucrose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,Dextran,Dextran,Dextran,Dextran,Dextran,Dextran,EG,EG,EG,EG,EG,EG,PEG400,PEG400,PEG400,PEG400,PEG400,PEG400,PEG2000,PEG2000,PEG2000,PEG2000,PEG2000,PEG2000,PEG6000,PEG6000,PEG6000,PEG6000,PEG6000,PEG6000,PEG10000,PEG10000,PEG10000,PEG10000,PEG10000,PEG10000
PUMA S3,1020,458,3830,3295,3594,3607,3286,3352,3481,3007,2602,2618,3018,2770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142,3646,3177,3216,2946,2520,0,0,0,0,0,0,0,0,0,0,0,0
PUMA S3,1020,459,4563,3899,4264,4273,3873,3982,4089,3548,3065,3066,3545,3221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4890,4317,3765,3802,3467,2961,0,0,0,0,0,0,0,0,0,0,0,0
PUMA S3,1020,460,5294,4557,4982,4971,4541,4616,4760,4087,3510,3555,4077,3713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5665,5007,4375,4410,4035,3439,0,0,0,0,0,0,0,0,0,0,0,0
PUMA S3,1020,461,6101,5205,5746,5715,5217,5310,5414,4692,4029,4022,4640,4230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6493,5734,5007,5045,4597,3942,0,0,0,0,0,0,0,0,0,0,0,0
PUMA S3,1020,462,7007,5999,6559,6569,5983,6090,6194,5298,4561,4587,5305,4819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7416,6568,5729,5775,5272,4512,0,0,0,0,0,0,0,0,0,0,0,0
PUMA S3,1020,463,8017,6885,7543,7526,6851,6959,7091,6074,5237,5237,6033,5496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8544,7510,6562,6594,6025,5181,0,0,0,0,0,0,0,0,0,0,0,0
PUMA S3,1020,464,8940,7654,8369,8360,7595,7749,7868,6727,5790,5780,6649,6098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9443,8363,7277,7328,6708,5700,0,0,0,0,0,0,0,0,0,0,0,0
PUMA S3,1020,465,9862,8447,9280,9278,8411,8581,8686,7421,6395,6377,7343,6688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10454,9251,8055,8088,7403,6338,0,0,0,0,0,0,0,0,0,0,0,0
PUMA S3,1020,466,10907,9309,10238,10253,9290,9459,9600,8228,7051,7053,8073,7366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11507,10214,8876,8935,8155,6954,0,0,0,0,0,0,0,0,0,0,0,0
PUMA S3,1020,467,11682,10032,10999,10997,9979,10155,10270,8762,7492,7545,8647,7903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12301,10885,9505,9590,8718,7469,0,0,0,0,0,0,0,0,0,0,0,0
