,date,well,prot,osm,A_after,A_before,D_after,D_before,area,directA_after,directA_before,A_corr_before,A_corr_after,D/A_before,D/A_after,d_directA
183,5/27/2021,A3,WT,100,22734.156,24249.908,3949.164,4225.029,824.72,8810.763,9368.953,20230.54156,18967.05411,0.208844088,0.208211775,-558.19
184,5/27/2021,A3,WT,100,23346.258,24288.934,4470.108,4612.521,327.86,8714.036,9102.34,20114.85327,19321.43392,0.229309204,0.231354879,-388.304
186,5/27/2021,A3,WT,100,30250.469,32293.482,4762.627,5072.957,552.63,11090.058,11852.822,27352.77861,25619.16567,0.185464046,0.185900941,-762.764
187,5/27/2021,A3,WT,100,26505.057,27966.689,4937.646,5223.281,714.87,9778.709,10320.74,23237.40947,22030.14991,0.224778971,0.224131294,-542.031
190,5/27/2021,A3,WT,100,13624.345,14627.915,2800.252,3033.372,436.02,5399.713,5879.128,11903.19352,11114.26597,0.254836821,0.251951142,-479.415
195,5/27/2021,B1,WT,150,14001.241,15463.908,3093.552,3333.264,147.03,5415.874,6006.092,12556.1206,11332.64238,0.265469256,0.272977113,-590.218
196,5/27/2021,B1,WT,150,13267.472,14728.391,2765,3044.575,147.03,4743.575,5245.299,12118.15944,10900.74275,0.251240712,0.25365244,-501.724
197,5/27/2021,B1,WT,150,18026.66,19074.15,7283.672,7793.796,381.94,4646.093,4907.15,14011.07962,13283.55617,0.55625949,0.548322445,-261.057
198,5/27/2021,B1,WT,150,17988.605,18369.908,3421.094,3458.298,645.58,6958.756,7133.858,15181.57704,14853.26154,0.227795702,0.230326113,-175.102
199,5/27/2021,B1,WT,150,17949.027,18332.793,3358.017,3431.67,302.51,7083.128,7233.028,15139.73258,14823.48367,0.226666487,0.226533592,-149.9
201,5/27/2021,B1,WT,150,29242.713,30082.32,4577.41,4628.421,300.82,10887.781,11245.326,25492.64493,24748.00731,0.181559074,0.18496075,-357.545
202,5/27/2021,B1,WT,150,27104.279,28244.867,4482.266,4726.095,534.04,10215.063,10687.775,23709.3594,22787.81605,0.199334572,0.196695725,-472.712
203,5/27/2021,B1,WT,150,20595.705,21424.006,3622.913,3766.514,292.37,7888.451,8269.463,17856.55561,17176.75542,0.210931721,0.21091952,-381.012
204,5/27/2021,B1,WT,150,18841.188,20061.104,3194.477,3360.411,180.83,7155.869,7581.103,16839.6766,15788.50008,0.199553179,0.202329353,-425.234
206,5/27/2021,B1,WT,150,15614.038,15608.452,3364.583,3373.576,490.1,6584.276,6601.983,12566.07995,12579.79657,0.268466858,0.267459254,-17.707
207,5/27/2021,B1,WT,150,29901.393,32788.492,5300.253,5637.787,667.55,11091.367,12244.453,27474.01882,24984.89918,0.205204307,0.212138258,-1153.086
208,5/27/2021,B1,WT,150,33444.441,36103.582,5541.617,5714.322,383.63,12329.167,13404.238,30528.18612,28164.84226,0.187181838,0.196756543,-1075.071
209,5/27/2021,B1,WT,150,13196.952,13546.043,3080.751,3129.586,596.57,5551.867,5710.986,10802.27508,10509.29924,0.289715451,0.293145235,-159.119
211,5/27/2021,B1,WT,150,12108.5,13401.152,2594.889,2722.542,121.68,5076.958,5621.931,10890.03785,9768.58681,0.250002988,0.265636069,-544.973
212,5/27/2021,B1,WT,150,20034.766,21461.643,3941.154,4056.222,273.78,8466.383,9037.352,17594.74846,16337.34161,0.230535947,0.241235942,-570.969
213,5/27/2021,B1,WT,150,17717.801,19032.018,3289.217,3391.733,101.4,7711.883,8266.684,15663.72955,14509.25822,0.216534191,0.226697806,-554.801
214,5/27/2021,B1,WT,150,37362.844,38499.875,6439.226,6546.767,246.74,14720.322,15161.788,32149.34877,31153.19304,0.203636069,0.206695538,-441.466
215,5/27/2021,B1,WT,150,21391.068,22809.719,3477.34,3609.553,174.07,8177.563,8797.049,19225.2166,17994.34083,0.187750967,0.193246312,-619.486
217,5/27/2021,B1,WT,150,33050.332,35842.047,4770.593,5118.629,182.52,12990.852,13921.917,30484.0094,28053.65583,0.167911935,0.170052453,-931.065
219,5/27/2021,B1,WT,150,30388.205,32310.482,4676.488,4889.625,346.45,11236.298,11910.288,27456.02603,25774.76974,0.17808932,0.181436655,-673.99
222,5/27/2021,B1,WT,150,29928.406,30973.545,4711.303,4841.104,390.39,11906.671,12315.173,26067.87701,25169.14792,0.185711479,0.187185638,-408.502
223,5/27/2021,B1,WT,150,34352.605,35922.848,5503.379,5677.954,659.1,13211.795,14019.536,30249.82054,28925.57308,0.187702072,0.190259982,-807.741
225,5/27/2021,B1,WT,150,16025.813,17756.008,3135.694,3387.545,226.46,6347.313,7030.731,14624.77026,13157.90571,0.231630647,0.238312545,-683.418
226,5/27/2021,B1,WT,150,22133.189,22733.279,3851.451,4025.177,381.94,7969.571,8159.447,19049.64026,18577.70148,0.211299371,0.207315798,-189.876
228,5/27/2021,B1,WT,150,37251.051,39097.523,5643.2,5922.354,821.34,13419.972,14377.734,33226.90592,31710.36032,0.178239708,0.177960766,-957.762
231,5/27/2021,B1,WT,150,23447.641,25135.02,4430.687,4720.829,900.77,8337.017,8979.373,20926.89976,19515.34366,0.22558664,0.227036074,-642.356
232,5/27/2021,B1,WT,150,16198.05,17636.9,3280.517,3596.383,101.4,6204.3,6749.317,14448.44678,13280.55899,0.248911392,0.247016485,-545.017
233,5/27/2021,B1,WT,150,17780.916,19728.812,3560.396,3792.565,260.26,7094.851,7872.597,16222.95912,14545.88443,0.233777634,0.244769991,-777.746
235,5/27/2021,B1,WT,150,17315.266,18758.691,3443.438,3704.243,312.65,6416.914,6969.87,15471.16691,14271.0302,0.239428805,0.241288677,-552.956
238,5/27/2021,B1,WT,150,19189.518,21375.014,3575.205,3872.304,371.8,6891.764,7641.687,17870.77235,15985.22419,0.21668364,0.223656857,-749.923
239,5/27/2021,B1,WT,150,26550.879,29033.646,3974.716,4345.104,196.04,10138.775,11193.577,24603.96125,22517.91227,0.176601806,0.176513522,-1054.802
240,5/27/2021,B1,WT,150,18150.469,20690.15,3284.035,3648.097,190.97,7183.549,8201.327,17198.40646,15045.05614,0.212118315,0.21828001,-1017.778
242,5/27/2021,B1,WT,150,20498.627,22403.174,3579.564,3821.316,476.58,8005.078,8761.628,18713.1672,17080.49326,0.204204663,0.209570294,-756.55
243,5/27/2021,B1,WT,150,10733.268,11308.339,2565.619,2690.077,283.92,4432.982,4706.905,8988.28624,8531.22335,0.299286975,0.300732837,-273.923
245,5/27/2021,B1,WT,150,33250.652,34785.5,5268.976,5505.098,277.16,12083.085,12623.457,29469.34123,28162.30857,0.186807637,0.187093185,-540.372
246,5/27/2021,B1,WT,150,16781.613,17762.822,3193.064,3373.194,104.78,6511.097,6937.807,14656.84585,13852.18065,0.230144605,0.230509844,-426.71
247,5/27/2021,B1,WT,150,29893.865,30528.744,4639.525,4763.295,640.51,11383.981,11783.96,25765.24525,25271.96036,0.184872876,0.183583898,-399.979
248,5/27/2021,B1,WT,150,31719.961,33314.738,4748.177,4947.588,295.75,11552.068,12228.76,28369.05196,27008.53427,0.174400893,0.175802839,-676.692
249,5/27/2021,B1,WT,150,20186.084,21482.943,3631.662,3866.789,479.96,8053.909,8582.447,17802.8799,16731.06043,0.217200196,0.217061077,-528.538
250,5/27/2021,B1,WT,150,16586.148,17585.342,3311.82,3517.106,430.95,7540.212,8065.4,14188.84982,13398.24312,0.247878161,0.247183155,-525.188
251,5/27/2021,B1,WT,150,16424.594,18137.098,3003.249,3269.273,278.85,7503.315,8249.188,14837.03759,13407.24218,0.220345401,0.224001995,-745.873
252,5/27/2021,B1,WT,150,20870.734,22243.344,3993.094,4242.597,591.5,8359.092,8924.683,18299.07782,17166.1667,0.231847585,0.232614192,-565.591
254,5/27/2021,B1,WT,150,32868.352,32823.535,4747.74,4669.145,221.39,12580.778,12557.244,27963.01179,27961.70198,0.166975755,0.169794385,23.534
255,5/27/2021,B1,WT,150,32504.602,34450.691,4829.594,5027.098,224.77,11979.496,12623.872,29387.79338,27668.81294,0.171060751,0.174550098,-644.376
256,5/27/2021,B1,WT,150,20469.441,23625.703,3501.548,3837.25,141.96,7986.798,9150.357,19853.39267,17096.12894,0.193279308,0.204815255,-1163.559
258,5/27/2021,B1,WT,150,11316.203,12385.917,2454.398,2684.504,224.77,4551.511,4988.075,10015.39563,9150.58497,0.268037739,0.268223071,-436.564
259,5/27/2021,B1,WT,150,12075.603,14179.519,2514.108,2863.434,140.27,4915.41,5764.35,11566.67248,9809.19786,0.247559011,0.256301079,-848.94
260,5/27/2021,B1,WT,150,11637.897,12424.936,2413.936,2587.5,131.82,4688.564,5051.064,10093.85884,9467.68376,0.256343985,0.254965846,-362.5
262,5/27/2021,B1,WT,150,34592.816,35780.113,5365.239,5577.716,1335.1,12666.948,13342.405,30288.86657,29342.51921,0.184150701,0.182848615,-675.457
