Frame,Integrated_Intensity,Mean_Intensity,Subtracted_Integrated_Intensity,Subtracted_Mean_Intensity,Rg_(A),Rger_(A),I0,I0er,MW_Vc_(kDa),MWer_Vc_(kDa),MW_Vp_(kDa),File_Name
42,1.13994626E-02,3.29469256E-02,1.85199401E-05,5.29221979E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0043.tif
43,1.13775228E-02,3.28827575E-02,-3.41995752E-06,-1.12439348E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0044.tif
44,1.13815267E-02,3.29001807E-02,5.83972634E-07,6.17855540E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0045.tif
45,1.13797682E-02,3.28860842E-02,-1.17454124E-06,-7.91607636E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0046.tif
46,1.13953505E-02,3.29368897E-02,1.44078225E-05,4.28852909E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0047.tif
47,1.13897408E-02,3.29233073E-02,8.79805724E-06,2.93062476E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0048.tif
48,1.13950672E-02,3.29414792E-02,1.41245337E-05,4.74753469E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0049.tif
49,1.13842373E-02,3.28997895E-02,3.29465824E-06,5.78862500E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0050.tif
50,1.13852571E-02,3.29097882E-02,4.31436009E-06,1.57874256E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0051.tif
51,1.13714374E-02,3.28688025E-02,-9.50522067E-06,-2.52017435E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0052.tif
52,1.13778540E-02,3.28854546E-02,-3.08867625E-06,-8.54991413E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0053.tif
53,1.13772536E-02,3.28825079E-02,-3.68904279E-06,-1.14957193E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0054.tif
54,1.13759652E-02,3.28757912E-02,-4.97748599E-06,-1.82104650E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0055.tif
55,1.13825013E-02,3.29014994E-02,1.55862913E-06,7.49598439E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0056.tif
56,1.13956682E-02,3.29378955E-02,1.47255033E-05,4.38950847E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0057.tif
57,1.13906665E-02,3.29203457E-02,9.72382460E-06,2.63466354E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0058.tif
58,1.13676659E-02,3.28551531E-02,-1.32767549E-05,-3.88475346E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0059.tif
59,1.13939659E-02,3.29363197E-02,1.30231762E-05,4.23165220E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0060.tif
