,wavelength,50uM,20uM,10uM,2uM_10mm,1uM_10mm
24,257.6,0.13198110096575943,-0.16951994439566867,0.05563838162130524,0.2838413227977758,0.46415550190225346
25,257.5,0.1303700801872988,-0.20334653936201344,0.027722022241732515,0.23065431665203392,0.48807942639742463
26,257.4,0.14196102897278315,-0.16385177787532926,-0.014360491659350286,0.25208936201346205,0.5360534240561895
27,257.3,0.12356562101258414,-0.19753176763242605,-0.14101716417910443,0.2006923031899327,0.5218906789581504
28,257.2,0.10887011940298505,-0.18025110477026635,-0.032805472636815894,0.28161326455955515,0.5593227392449517
29,257.1,0.1102389347380743,-0.16167145156570095,0.029907462686567077,0.25714042288557215,0.42014325431665206
30,257.0,0.13456244366403278,-0.10465907228563068,0.10702180275095113,0.2492152180275095,0.4250528241147205
31,256.9,0.13796607111501316,-0.12031684957565121,0.10686155984781967,0.3115769827333919,0.5050140327772901
32,256.8,0.14407412145156567,-0.13882831431079892,0.23181693005560436,0.3299384328358209,0.5426199736611063
33,256.7,0.14872164296166226,-0.20338404302019314,0.056231621305238545,0.3763151155984782,0.5971537020778461
34,256.6,0.15452605004389816,-0.1889604770266316,0.061853760608721074,0.3636474026924203,0.7454908984489319
35,256.5,0.14766022124670763,-0.20353235294117647,0.019126865671641805,0.40027483904009364,0.90804198127012
36,256.4,0.15048779250804797,-0.17390446297922157,0.06816119402985078,0.3815025534094234,1.00255801872988
37,256.3,0.15314789288849867,-0.14735016827626574,0.057984064969271276,0.3645304433713784,0.9533464003511852
38,256.2,0.1531358917178812,-0.16609858794263968,0.02821297922153938,0.3329233830845772,0.8520524290313142
39,256.1,0.1333057301726661,-0.2051688762071993,-0.10790484342990922,0.34548710857477327,0.8194344746853968
40,256.0,0.12766265700907228,-0.26839322505121455,-0.18056988586479372,0.33320806994439567,0.8450426543751828
41,255.9,0.12173817003219199,-0.2791772314896107,-0.27304367866549606,0.34344145449224467,0.9019322944103013
42,255.8,0.1143065815042435,-0.2731698273339187,-0.20466087211003806,0.34983753292361724,0.8360997366110624
43,255.7,0.09757272197834357,-0.2847362964588821,-0.2555021949078139,0.3016044190810653,0.7937717442200761
44,255.6,0.10265964998536727,-0.2718214003511853,-0.25731600819432254,0.2998826602282704,0.7498720076090137
45,255.5,0.08400054207609015,-0.29413948639157156,-0.30547411472051506,0.29774154228855715,0.7046971466198421
46,255.4,0.07848513286508635,-0.24616037459760023,-0.277223631840796,0.2986944761486684,0.5451054433713783
47,255.3,0.07590549487854843,-0.2481003365525315,-0.2802409716125256,0.30897729733684515,0.5797895083406498
48,255.2,0.05344441761779338,-0.24102237342698277,-0.34602238805970154,0.34941476441322805,0.618278489903424
49,255.1,0.03970573661106233,-0.2311981196956395,-0.4190965613110917,0.3207483318700614,0.6159157594381036
50,255.0,0.03752391015510682,-0.23942335381913954,-0.4631497219783435,0.2805682762657302,0.4802070676031607
51,254.9,0.039189686274509805,-0.24217134913666957,-0.4314693590869183,0.32189219344454206,0.47662717295873575
52,254.8,0.06175502370500439,-0.1988120061457419,-0.4559387913374304,0.3159154741000878,0.5264183933274803
53,254.7,0.04487374070822359,-0.1855067310506292,-0.4986656862745098,0.34756003804506874,0.5427665788703542
54,254.6,0.06833255165349722,-0.2031351551068189,-0.5185051214515657,0.28440728709394203,0.48775553116769094
55,254.5,0.07310315335089258,-0.22212052970441912,-0.46977082235879436,0.3007333113842553,0.6220595405326311
56,254.4,0.07105777202224174,-0.20520978928884984,-0.4358845624817091,0.29102838747439275,0.601705282411472
57,254.3,0.06316222914837576,-0.1900941103306995,-0.3953942493415276,0.29553564530289733,0.5631822066139889
58,254.2,0.06506816505706761,-0.19246025021949079,-0.3719135498975709,0.2932564457126134,0.6040202809482002
59,254.1,0.08120537547556335,-0.1572715905765292,-0.23307159789288853,0.29630106087211006,0.6262394937079309
