Frame,Integrated_Intensity,Mean_Intensity,Subtracted_Integrated_Intensity,Subtracted_Mean_Intensity,Rg_(A),Rger_(A),I0,I0er,MW_Vc_(kDa),MWer_Vc_(kDa),MW_Vp_(kDa),File_Name
47,1.13638575E-02,3.28471474E-02,-3.30016403E-05,-9.29891248E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0048.tif
48,1.13487180E-02,3.28005515E-02,-4.81410924E-05,-1.39582844E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0049.tif
49,1.13463842E-02,3.27976458E-02,-5.04748880E-05,-1.42491961E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0050.tif
50,1.13381928E-02,3.27709429E-02,-5.86663455E-05,-1.69199368E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0051.tif
51,1.13609073E-02,3.28390449E-02,-3.59518841E-05,-1.01093858E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0052.tif
52,1.13486075E-02,3.28035466E-02,-4.82516705E-05,-1.36593400E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0053.tif
53,1.13544047E-02,3.28193083E-02,-4.24544688E-05,-1.20827593E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0054.tif
54,1.13640402E-02,3.28402743E-02,-3.28189607E-05,-9.98629112E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0055.tif
55,1.13464694E-02,3.27935107E-02,-5.03896984E-05,-1.46626946E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0056.tif
56,1.13596069E-02,3.28296572E-02,-3.72522329E-05,-1.10483546E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0057.tif
57,1.13496359E-02,3.27994116E-02,-4.72232344E-05,-1.40727396E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0058.tif
58,1.13693850E-02,3.28611471E-02,-2.74740962E-05,-7.89884361E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0059.tif
59,1.13640880E-02,3.28457691E-02,-3.27711028E-05,-9.43687628E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0060.tif
60,1.13795632E-02,3.28906588E-02,-1.72959826E-05,-4.94790402E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0061.tif
61,1.13613817E-02,3.28424051E-02,-3.54774443E-05,-9.77326272E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0062.tif
62,1.13613136E-02,3.28409784E-02,-3.55455857E-05,-9.91605993E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0063.tif
63,1.13597439E-02,3.28350663E-02,-3.71152427E-05,-1.05070125E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0064.tif
64,1.13531001E-02,3.28122564E-02,-4.37589883E-05,-1.27881911E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0065.tif
65,1.13567821E-02,3.28294970E-02,-4.00770192E-05,-1.10640372E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0066.tif
66,1.13660631E-02,3.28501724E-02,-3.07959610E-05,-8.99663719E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0067.tif
67,1.13695089E-02,3.28640901E-02,-2.73501708E-05,-7.60480325E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0068.tif
