dateImaged,cellline,location,mag,Area,Round,passage,construct,well,trial,ch1,ch2_uncorrected,ch2,ch3,D/A_before,Efret_before,Ef_GS_calculated,Norm_Ef_IDR/Ef_GS,FPorder
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,E1A,F4,Trial01,1278.247,1765.309,808.6477199999997,1469.423,1.580721701657677,0.3874885073263301,0.35270815175530545,1.0986094463593625,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,E1A,F5,Trial01,3958.443,8106.289,4694.368259999999,6915.505,0.8432323117317603,0.5425252116270013,0.35270815175530545,1.5381703227641395,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,E1A,F5,Trial01,2816.103,5225.351,2820.3404599999994,4802.505,0.9984975360031536,0.5003758983861074,0.35270815175530545,1.4186683690068151,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,E1A,F5,Trial01,2685.959,4766.845,2487.7382,4502.887,1.0796791237920451,0.480843409235469,0.35270815175530545,1.3632897534193045,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,E1A,F6,Trial01,3122.732,5793.175,3067.626,5634.216,1.0179637283032543,0.4955490457902435,0.35270815175530545,1.4049832512349623,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,E1A,F6,Trial01,2964.134,5875.031,3282.32961,5377.423,0.9030579960554296,0.5254700603306645,0.35270815175530545,1.4898154684420626,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,E1A,F8,Trial01,4838.526,9573.021,5285.3159000000005,9069.928,0.9154658097163122,0.5220662227054337,0.35270815175530545,1.480164890171356,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,E1A,F9,Trial01,2459.526,4862.351,2751.28265,4250.103,0.8939561335146718,0.5279953333154922,0.35270815175530545,1.4969751356407375,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G1,Trial01,9691.453,10176.206,3373.3241900000003,8770.588,2.872968162600464,0.258199901991593,0.2673352210574209,0.9658282248418522,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G1,Trial01,6969.113,7231.021,2053.4635599999992,7810.145,3.3938332950013503,0.2275917024748415,0.2673352210574209,0.8513345214095718,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G1,Trial01,3869.144,3851.144,1037.94731,4013.423,3.727688258087012,0.2115198687835299,0.2673352210574209,0.7912158672803445,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G1,Trial01,5258.134,5194.186,1425.9465099999998,5165.413,3.687469314679974,0.2133347298654845,0.2673352210574209,0.7980045765075688,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G10,Trial01,9184.804,9865.175,3174.0378999999984,9595.742,2.8937285216411577,0.2568232465211808,0.2673352210574209,0.9606786771505045,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G12,Trial01,4888.113,4564.196,1206.9891799999996,4034.247,4.049839949683726,0.1980260780468162,0.2673352210574209,0.7407406972547108,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G12,Trial01,6349.567,6064.66,1497.0419399999994,6328.145,4.241408894663301,0.1907883968026574,0.2673352210574209,0.7136672678145839,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G12,Trial01,3353.763,3221.021,850.4074100000001,3121.68,3.94371328443622,0.2022771027495054,0.2673352210574209,0.7566421736328499,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G12,Trial01,7998.773,8349.989,2639.44784,7743.113,3.0304720854040443,0.2481098935336634,0.2673352210574209,0.928085317573519,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G12,Trial01,6730.299,7064.732,2358.8312,5993.907,2.853234686738076,0.2595222147879453,0.2673352210574209,0.9707744971329555,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G12,Trial01,3571.515,3585.897,1106.96356,3084.371,3.2264070192157,0.2366075949271851,0.2673352210574209,0.8850595667540724,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G12,Trial01,3822.629,3869.443,1167.6295100000002,3556.948,3.273837263671076,0.2339817682110421,0.2673352210574209,0.875237341662456,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G3,Trial01,6185.083,6345.227,1907.45338,6103.577,3.2425867205205297,0.2357052585780281,0.2673352210574209,0.8816842675862788,O
