,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,D07,D08,D09,D10,D11,D12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS16,1020,497,29405,29259,29891,29608,30610,30238,32053,31389,30334,29904,28897,27667,31621,31247,30706,29240,28820,27023
GS16,1020,498,30660,30457,31089,30777,31966,31393,33028,32315,31329,30955,30002,28720,32501,32116,31484,30255,29866,28130
GS16,1020,499,32141,31939,32512,32296,33394,32910,34112,33382,32385,32083,31172,30007,33627,33242,32602,31326,31051,29359
GS16,1020,500,33570,33363,34089,33884,34933,34389,35203,34455,33435,33286,32445,31463,34790,34166,33727,32494,32332,30625
GS16,1020,501,35215,35082,35732,35471,36702,36042,36283,35612,34641,34580,33692,32899,35868,35457,35051,33886,33692,32185
GS16,1020,502,37979,37877,38556,38324,39610,38890,38702,37765,36900,37039,36261,35442,37954,37657,37237,36014,36052,34607
GS16,1020,503,40001,39630,40395,40088,41448,40849,39774,39090,38178,38441,37819,37042,39277,38807,38482,37456,37672,36277
GS16,1020,504,42595,42245,43103,42632,44173,43331,42024,41075,40223,40527,40124,39575,41374,40807,40602,39699,40069,38709
GS16,1020,505,45878,45511,46444,45969,47522,46678,44607,43629,42875,43313,43008,42627,43816,43284,43104,42225,42692,41555
GS16,1020,506,48529,48031,49124,48633,50432,49435,46497,45546,44808,45410,45518,45141,45802,45115,45096,44311,45184,43877
GS16,1020,507,51599,51179,52266,51572,53328,52475,48898,47814,47373,48122,48009,48148,48158,47578,47549,46974,47965,47004
GS16,1020,508,54963,54479,55535,55066,56871,55846,51609,50528,49891,51093,51207,51322,50858,50243,50449,49933,51085,50295
GS16,1020,509,58116,57504,58740,58167,60119,59043,54132,52990,52408,53568,54054,54406,53299,52505,52819,52574,53908,53201
GS16,1020,510,61166,60513,61761,61061,63423,62140,56482,55307,54792,56415,56916,57291,55690,55029,55283,55144,56984,56533
GS16,1020,511,63932,63465,64782,64136,66321,64981,58771,57589,57229,58943,59669,60422,57885,57201,57711,57756,59675,59332
GS16,1020,512,66992,66268,67603,67044,69109,67786,61055,59769,59604,61316,62223,63206,60160,59380,60169,60264,62331,62183
GS16,1020,513,69249,68787,70000,69124,71644,70196,63096,61715,61410,63554,64563,65610,62268,61532,62182,62442,64799,64734
GS16,1020,514,70973,70192,71543,70858,73355,71752,64325,62988,62870,65076,66226,67512,63547,62749,63675,63904,66454,66487
GS16,1020,515,72742,71866,73484,72897,75212,73629,65860,64407,64409,66782,68024,69307,64985,64136,65086,65478,68361,68637
GS16,1020,516,73494,72786,74339,73627,75814,74501,66721,65223,65050,67460,68871,70120,65768,64997,65758,66222,69344,69516
