,,Well,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
mTQ2ctrl (TQfree),1020,490,26127,26059,24569,25132,26996,23278,23878,26581,26075,25022,24116,25945,21857,25418,22732,23300,21434,21740
mTQ2ctrl (TQfree),1020,491,25718,25693,24314,24751,26628,22982,23491,26256,25698,24688,23813,25504,21607,25028,22324,22970,21181,21392
mTQ2ctrl (TQfree),1020,492,26003,26048,24457,24968,26829,23229,23619,26273,25857,24854,23920,25694,21683,25160,22470,23092,21254,21482
mTQ2ctrl (TQfree),1020,493,25805,25787,24343,24806,26683,23019,23497,26197,25639,24678,23768,25528,21563,24986,22401,22902,21189,21344
mTQ2ctrl (TQfree),1020,494,26010,26025,24523,25001,26917,23219,23644,26348,25875,24876,23905,25696,21660,25167,22448,23065,21213,21460
mTQ2ctrl (TQfree),1020,495,26170,26066,24754,25100,27029,23372,23792,26456,25898,24943,24041,25825,21818,25262,22570,23191,21327,21558
mTQ2ctrl (TQfree),1020,496,26031,25991,24537,25009,26987,23247,23732,26345,25742,24811,23887,25627,21690,25149,22470,23125,21289,21487
mTQ2ctrl (TQfree),1020,497,26267,26270,24883,25315,27199,23485,23870,26541,26007,25055,24114,25856,21933,25334,22705,23271,21424,21704
mTQ2ctrl (TQfree),1020,498,26339,26351,24867,25355,27248,23532,23950,26683,26130,25086,24167,25957,21892,25357,22759,23248,21448,21601
mTQ2ctrl (TQfree),1020,499,26391,26450,24952,25393,27237,23654,24012,26659,26202,25197,24245,26052,21976,25388,22841,23307,21523,21773
mTQ2ctrl (TQfree),1020,500,26324,26361,24915,25289,27215,23481,23987,26632,26149,25092,24207,25960,21891,25281,22628,23231,21420,21645
mTQ2ctrl (TQfree),1020,501,26136,26289,24732,25306,27131,23351,23717,26397,25902,24913,23970,25715,21711,25149,22495,23077,21261,21482
mTQ2ctrl (TQfree),1020,502,26385,26540,24961,25524,27338,23662,23957,26724,26189,25177,24335,26085,21986,25455,22813,23454,21559,21785
mTQ2ctrl (TQfree),1020,503,25924,25945,24438,25051,26752,23122,23579,26216,25729,24631,23787,25627,21608,24970,22342,22971,21127,21360
mTQ2ctrl (TQfree),1020,504,25731,25864,24275,24914,26682,23060,23452,26077,25619,24580,23691,25530,21442,24824,22246,22863,20999,21269
mTQ2ctrl (TQfree),1020,505,25665,25798,24265,24921,26547,22925,23355,26003,25597,24510,23621,25528,21388,24773,22179,22782,21002,21185
mTQ2ctrl (TQfree),1020,506,25143,25390,23806,24438,25978,22477,22891,25527,25043,24025,23207,25017,20930,24397,21767,22367,20568,20809
