,,Well,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
Ash1,1020,496,16627,17053,19486,14601,16592,15557,19150,19236,21000,18188,18677,16006,18514,16737,18668,16176,15380,14496
Ash1,1020,497,17239,17693,20274,15161,17218,16152,19690,19632,21523,18775,19323,16682,18991,17226,19210,16724,15886,15021
Ash1,1020,498,18031,18505,21103,15904,18020,16875,20233,20225,22217,19344,20016,17264,19653,17723,19895,17296,16541,15656
Ash1,1020,499,18909,19346,22134,16653,18903,17669,20874,20846,22871,20049,20657,17967,20242,18310,20507,17913,17216,16378
Ash1,1020,500,19665,20162,22972,17304,19642,18391,21381,21349,23440,20582,21275,18567,20713,18802,21094,18489,17789,17012
Ash1,1020,501,20734,21255,24156,18241,20666,19412,22057,22033,24319,21334,22152,19402,21503,19511,21926,19268,18589,17882
Ash1,1020,502,22206,22749,25965,19650,22201,20769,23244,23195,25458,22566,23426,20610,22707,20599,23241,20417,19915,19163
Ash1,1020,503,23298,23962,27204,20481,23276,21806,23823,23714,26232,23248,24216,21542,23344,21224,23988,21337,20732,20128
Ash1,1020,504,24781,25469,28880,21800,24757,23142,24936,24785,27417,24457,25510,22782,24483,22262,25236,22422,21962,21452
Ash1,1020,505,26518,27260,30930,23396,26419,24735,26126,25941,28700,25705,26879,24171,25642,23410,26675,23791,23393,22960
Ash1,1020,506,28111,28770,32608,24720,27948,26185,27038,26925,29788,26890,27986,25460,26677,24381,27822,24934,24652,24233
Ash1,1020,507,29795,30473,34572,26083,29588,27655,28240,27894,31037,28028,29399,26833,27832,25523,29160,26250,26119,25764
Ash1,1020,508,31559,32301,36536,27631,31303,29341,29361,29025,32251,29369,30822,28273,29102,26649,30592,27644,27600,27324
Ash1,1020,509,33348,34074,38561,29226,33107,30937,30567,30253,33533,30678,32238,29752,30365,27851,32124,29104,29115,28990
Ash1,1020,510,34864,35605,40215,30421,34553,32314,31394,31002,34695,31699,33433,31039,31307,28795,33178,30223,30290,30367
Ash1,1020,511,36689,37270,42136,31927,36151,33852,32526,32151,35927,32907,34872,32419,32502,29970,34594,31616,31762,31822
Ash1,1020,512,38182,38734,43778,33135,37468,35041,33355,32957,36799,33850,35765,33486,33417,30740,35687,32537,32975,33146
Ash1,1020,513,39221,39807,44903,34097,38587,36017,34027,33611,37577,34630,36468,34394,34022,31450,36567,33512,33942,34129
Ash1,1020,514,40176,40688,45882,34641,39293,36704,34371,33958,38015,35113,37176,35058,34652,31795,37181,34169,34667,34904
Ash1,1020,515,41026,41518,46777,35358,40019,37384,34874,34306,38526,35518,37749,35693,35085,32432,37686,34754,35354,35727
