,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
mNGctrl (NGfree),1020,505,4518,1795,1780,1661,1995,1411,1715,1591,1377,1283,1456,1272,1667,1165,1219,1286,1357,1045
mNGctrl (NGfree),1020,506,4941,2017,1981,1859,2232,1577,1933,1810,1565,1448,1651,1422,1869,1310,1367,1433,1528,1178
mNGctrl (NGfree),1020,507,5453,2277,2242,2106,2515,1782,2199,2035,1778,1643,1896,1607,2128,1486,1561,1624,1748,1339
mNGctrl (NGfree),1020,508,5903,2569,2507,2351,2775,1984,2462,2304,2000,1877,2132,1796,2376,1679,1762,1844,1979,1525
mNGctrl (NGfree),1020,509,6437,2827,2760,2601,3065,2188,2737,2559,2237,2065,2389,1975,2618,1851,1940,2025,2195,1677
mNGctrl (NGfree),1020,510,6924,3065,3010,2823,3335,2412,2975,2817,2452,2261,2627,2171,2858,2041,2132,2239,2413,1843
mNGctrl (NGfree),1020,511,7411,3314,3267,3047,3623,2563,3255,3062,2684,2505,2869,2353,3119,2213,2323,2438,2637,2004
mNGctrl (NGfree),1020,512,7863,3556,3485,3258,3871,2763,3510,3309,2887,2676,3087,2527,3340,2398,2503,2610,2859,2166
mNGctrl (NGfree),1020,513,8202,3753,3661,3441,4084,2919,3695,3517,3093,2844,3273,2684,3557,2531,2667,2768,2999,2312
mNGctrl (NGfree),1020,514,8501,3903,3825,3580,4230,3032,3868,3669,3191,2971,3443,2794,3706,2660,2784,2881,3177,2415
mNGctrl (NGfree),1020,515,8795,4042,3966,3720,4386,3157,4040,3837,3346,3101,3582,2924,3851,2762,2914,3027,3322,2528
mNGctrl (NGfree),1020,516,8939,4117,4074,3780,4495,3219,4122,3925,3448,3203,3698,2989,3958,2838,2968,3099,3391,2612
mNGctrl (NGfree),1020,517,8930,4120,4084,3777,4492,3228,4159,3983,3470,3228,3737,3022,3972,2841,2995,3110,3452,2617
mNGctrl (NGfree),1020,518,8988,4191,4113,3805,4542,3257,4220,4020,3507,3272,3767,3034,4011,2898,3033,3197,3511,2690
mNGctrl (NGfree),1020,519,8819,4102,4044,3729,4469,3191,4146,3962,3458,3219,3743,2997,3952,2829,3001,3128,3456,2624
mNGctrl (NGfree),1020,520,8717,4034,3980,3706,4379,3139,4090,3926,3428,3188,3682,2965,3915,2831,2964,3108,3413,2612
mNGctrl (NGfree),1020,521,8391,3888,3834,3580,4232,3031,3962,3784,3307,3074,3558,2870,3790,2720,2878,2997,3311,2519
mNGctrl (NGfree),1020,522,8091,3743,3691,3439,4074,2913,3800,3651,3188,2975,3461,2790,3659,2641,2773,2897,3196,2425
