,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06,H01,H02,H03,H04,H05,H06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,N/A,N/A,N/A,N/A,N/A,N/A,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,conc,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS24,1020,470,47506,46413,45180,44124,45899,45825,46441,47519,50438,49885,49418,48846,42325,41998,40269,41030,36511,33991,0,0,0,0,0,0,48220,51893,49092,48900,38906,48876,46519,40956,36756,34356,30802,25605,46846,46812,42346,45075,41595,41887,38747,38573,36101,35733,35862,36395,20776,19653,19985,21720,20542,19961,21104,19157,17767,18894,18041,18211,19412,17621,17687,17852,17729,18229,19746,18946,15419,18873,18378,17929,19581,16751,14994,18238,17791,10325,23369,23720,23940,24316,23636,23960,24498,27217,30683,30712,29401,29333,25098,31049,31834,31414,32031,26890
GS24,1020,471,48624,47445,46147,45139,46848,46749,47515,48548,51732,50999,50565,49981,43375,42929,41212,41925,37383,34875,0,0,0,0,0,0,49264,53044,50346,50101,39838,50162,47516,41778,37673,35209,31603,26272,47824,47825,43362,46118,42693,42845,39658,39418,36992,36650,36715,37272,21297,20110,20413,22150,20903,20404,21565,19606,18283,19377,18525,18640,19954,18143,18235,18350,18120,18711,20216,19425,15794,19328,18810,18378,20083,17112,15302,18575,18247,10553,23950,24342,24521,24930,24262,24512,25150,27975,31541,31552,30249,30167,25820,32096,32795,32267,33063,27721
GS24,1020,472,49983,48939,47629,46457,48404,48336,48857,50194,53254,52605,52242,51585,44695,44408,42575,43300,38704,36071,0,0,0,0,0,0,50932,54849,52067,51825,41137,51845,48943,43208,38744,36469,32599,27059,49418,49374,44665,47553,43932,44270,40829,40720,37937,37709,37754,38292,21841,20490,20880,22635,21416,20851,22030,20022,18662,19825,18953,19018,20396,18500,18575,18758,18522,19047,20605,19814,16142,19692,19221,18775,20596,17552,15635,19022,18687,10826,24789,25139,25313,25694,25044,25274,25852,28809,32348,32396,31013,30994,26623,32968,33855,33340,33988,28569
GS24,1020,473,50928,49832,48375,47133,49188,49136,49669,50833,54046,53351,52948,52409,45342,45131,43231,43913,39184,36534,0,0,0,0,0,0,51725,55741,52785,52620,41813,52719,49571,43767,39439,36996,33232,27546,50161,49973,45226,48237,44705,44989,41526,41337,38559,38370,38366,38937,22274,21026,21323,23137,21887,21299,22600,20563,19063,20287,19373,19443,20970,18935,18979,19220,18942,19626,21119,20334,16505,20183,19673,19203,21099,17967,16022,19497,19081,11041,25261,25608,25801,26228,25414,25734,26225,29143,32802,32894,31567,31475,27055,33582,34392,33978,34638,29135
GS24,1020,474,51029,50017,48471,47232,49217,49124,49909,51057,54382,53584,53245,52707,45448,45125,43404,44108,39350,36682,0,0,0,0,0,0,51973,55924,53049,52911,42006,53021,49898,43969,39602,37160,33326,27626,50289,50300,45488,48541,44815,45119,41678,41362,38764,38432,38618,39016,22343,21068,21475,23212,21939,21385,22687,20637,19139,20405,19403,19571,20985,19034,19107,19282,19016,19626,21174,20394,16586,20240,19710,19293,21142,18072,16087,19501,19124,11105,25310,25665,25879,26406,25545,25858,26280,29233,32931,32956,31592,31554,27186,33848,34593,34109,34949,29211
GS24,1020,475,51451,50239,48855,47768,49572,49566,50228,51346,54774,54043,53765,53219,45925,45586,43802,44495,39705,37046,0,0,0,0,0,0,52343,56422,53451,53241,42328,53399,50164,44291,39893,37530,33637,27928,50862,50685,46016,48829,45310,45580,41994,41833,39149,38909,38907,39486,22409,21106,21480,23267,21988,21360,22750,20666,19256,20402,19491,19597,21114,19126,19187,19388,19141,19713,21336,20545,16654,20360,19887,19398,21309,18149,16218,19753,19319,11162,25656,26041,26207,26642,25886,26168,26405,29348,32980,33127,31751,31643,27336,33886,34845,34261,35016,29507
GS24,1020,476,50681,49437,48056,46923,48951,48883,49579,50791,53958,53243,53003,52366,45275,44919,43125,43944,39174,36541,0,0,0,0,0,0,51662,55590,52798,52703,41709,52549,49404,43718,39368,36965,33211,27596,50030,49877,45303,48160,44573,44781,41362,41166,38587,38203,38382,38918,22165,20851,21222,22956,21666,21155,22518,20413,19030,20266,19340,19410,20846,18898,18883,19142,18891,19426,21035,20287,16391,20145,19668,19139,21077,17915,16023,19422,19023,11043,25255,25517,25846,26282,25564,25776,26221,29137,32779,32784,31526,31429,27203,33746,34541,34079,34940,29413
GS24,1020,477,50140,49014,47651,46388,48411,48400,49141,50368,53445,52875,52426,51943,44894,44450,42862,43555,38944,36248,0,0,0,0,0,0,51227,55151,52411,52080,41404,52113,49098,43394,38999,36722,32980,27373,49756,49554,44956,47761,44188,44429,41046,41006,38205,37990,37931,38564,21962,20552,20933,22660,21431,20843,22249,20172,18790,19902,19053,19132,20562,18696,18699,18931,18661,19266,20912,20039,16267,19916,19405,18930,20848,17779,15824,19279,18773,10911,25076,25391,25605,25978,25347,25445,25901,28745,32327,32432,31023,31046,26771,33354,34177,33695,34497,29112
GS24,1020,478,49101,48006,46566,45454,47351,47320,48015,49242,52375,51708,51367,50789,43959,43586,41943,42597,38110,35515,0,0,0,0,0,0,50155,54015,51265,50809,40586,51119,48230,42361,38200,35921,32219,26749,48690,48566,43964,46881,43321,43674,40309,40115,37414,37054,37319,37759,21481,20128,20468,22266,20933,20389,21796,19726,18384,19566,18718,18769,20195,18324,18423,18586,18314,18867,20412,19632,15963,19513,19009,18560,20418,17374,15495,18905,18437,10659,24571,24987,25157,25456,24852,25105,25349,28140,31690,31808,30527,30346,26293,32772,33551,33158,33878,28454
GS24,1020,479,48163,47122,45739,44703,46519,46443,47215,48312,51355,50774,50397,49964,43141,42836,41190,41844,37441,34823,0,0,0,0,0,0,49260,53173,50288,50079,39877,50201,47304,41775,37674,35320,31699,26417,47779,47681,43176,45960,42516,42807,39584,39380,36800,36471,36600,37161,21116,19834,20100,21812,20573,20037,21409,19407,18067,19140,18330,18462,19856,18011,18039,18300,18024,18518,20155,19310,15675,19210,18642,18252,20098,17193,15221,18579,18121,10481,24215,24526,24722,25135,24389,24709,24907,27672,31075,31216,29910,29871,25908,32144,32946,32641,33480,28097
