,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,wt %,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
FUS,1020,570,5652,3688,3706,5304,3688,5333,5190,4526,4921,4838,5432,3176,5029,5979,3486,4458,4422,4674
FUS,1020,571,5373,3504,3550,5078,3525,5081,5024,4314,4684,4615,5185,3056,4789,5682,3324,4263,4238,4455
FUS,1020,572,5174,3378,3433,4887,3398,4912,4783,4146,4541,4440,4999,2923,4628,5489,3229,4109,4087,4266
FUS,1020,573,4967,3285,3296,4650,3264,4701,4614,3989,4338,4250,4802,2817,4438,5271,3094,3942,3906,4115
FUS,1020,574,4746,3115,3128,4466,3139,4489,4390,3820,4155,4072,4586,2670,4249,5040,2953,3746,3743,3943
FUS,1020,575,4612,2995,3021,4319,3025,4344,4283,3701,4040,3938,4417,2596,4120,4840,2846,3616,3616,3766
FUS,1020,576,4406,2923,2922,4175,2903,4190,4116,3564,3876,3795,4287,2501,3979,4749,2748,3513,3468,3634
FUS,1020,577,4186,2734,2759,3941,2738,3964,3888,3388,3658,3598,4036,2383,3786,4447,2617,3329,3305,3482
FUS,1020,578,4029,2609,2647,3792,2653,3829,3760,3241,3544,3441,3860,2283,3636,4262,2519,3176,3167,3342
FUS,1020,579,3859,2501,2541,3635,2522,3638,3613,3108,3380,3299,3692,2166,3460,4082,2399,3029,3007,3192
FUS,1020,580,3647,2394,2415,3464,2387,3418,3406,2957,3186,3120,3520,2064,3283,3888,2284,2879,2857,2999
FUS,1020,581,3496,2288,2284,3286,2305,3305,3286,2834,3065,2982,3345,1977,3153,3704,2179,2754,2716,2870
FUS,1020,582,3395,2211,2231,3152,2217,3192,3177,2734,2955,2902,3229,1897,3051,3600,2117,2676,2637,2784
FUS,1020,583,3163,2083,2090,3007,2095,3007,2964,2595,2805,2734,3038,1794,2881,3403,2004,2521,2498,2618
FUS,1020,584,3094,2015,2062,2907,2029,2916,2893,2506,2732,2634,2954,1739,2812,3289,1928,2445,2412,2570
FUS,1020,585,2961,1952,1971,2817,1983,2820,2786,2421,2617,2547,2847,1690,2699,3188,1863,2358,2337,2441
FUS,1020,586,2892,1894,1929,2720,1919,2733,2699,2354,2538,2494,2781,1624,2641,3108,1815,2316,2258,2371
FUS,1020,587,2814,1827,1853,2591,1839,2638,2626,2277,2478,2384,2680,1574,2541,2985,1777,2220,2185,2293
FUS,1020,588,2693,1770,1781,2542,1779,2531,2532,2185,2354,2308,2570,1499,2439,2881,1686,2107,2092,2194
FUS,1020,589,2600,1719,1743,2453,1722,2456,2445,2120,2280,2232,2478,1462,2358,2793,1637,2068,2043,2145
FUS,1020,590,2536,1658,1685,2350,1683,2395,2361,2078,2244,2162,2413,1423,2282,2694,1579,1994,1954,2059
FUS,1020,591,2446,1611,1625,2322,1618,2315,2301,2014,2155,2094,2349,1397,2237,2616,1530,1951,1939,2004
FUS,1020,592,2393,1579,1577,2248,1579,2250,2250,1959,2107,2033,2262,1336,2167,2549,1503,1890,1859,1945
FUS,1020,593,2355,1536,1557,2193,1548,2207,2186,1914,2068,1996,2240,1328,2127,2488,1471,1867,1841,1906
FUS,1020,594,2266,1492,1506,2125,1492,2135,2123,1849,1989,1937,2167,1275,2063,2425,1416,1786,1775,1849
FUS,1020,595,2204,1426,1436,2048,1444,2059,2048,1789,1919,1873,2084,1233,1995,2343,1397,1728,1710,1773
FUS,1020,596,2127,1402,1408,1966,1415,1998,1995,1763,1862,1821,2022,1199,1933,2265,1352,1689,1669,1723
FUS,1020,597,2060,1354,1358,1913,1370,1943,1924,1710,1803,1765,1954,1180,1864,2222,1304,1638,1620,1671
FUS,1020,598,2008,1297,1326,1845,1315,1874,1882,1644,1761,1698,1882,1116,1808,2133,1256,1590,1564,1614
FUS,1020,599,1928,1264,1272,1800,1270,1817,1815,1569,1695,1642,1836,1091,1748,2069,1217,1529,1499,1550
FUS,1020,600,1872,1234,1244,1743,1245,1781,1752,1529,1657,1592,1807,1065,1712,2011,1198,1478,1474,1524
