,,Well,,,,,,,,,,,,,E07,E08,E09,E10,E11,E12,,,,,,,,,,,,,D07,D08,D09,D10,D11,D12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,wt %,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA S3,1020,458,3781,4216,4153,4090,3846,3961,0,0,0,0,0,0,4682,4650,4403,4258,4017,3725,0,0,0,0,0,0,0,0,0,0,0,0,3875,3641,3205,2957,2763,2812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4936,5266,5867,5799,6240,6649,5082,5680,6076,5894,6408,6759
PUMA S3,1020,459,4517,4984,4927,4874,4583,4698,0,0,0,0,0,0,5528,5508,5186,5002,4747,4320,0,0,0,0,0,0,0,0,0,0,0,0,4583,4297,3778,3476,3256,3295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5843,6169,6894,6815,7358,7875,6021,6678,7213,6995,7592,7987
PUMA S3,1020,460,5266,5799,5716,5622,5285,5444,0,0,0,0,0,0,6417,6396,5991,5831,5494,5010,0,0,0,0,0,0,0,0,0,0,0,0,5342,4995,4375,4038,3785,3820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6759,7183,8010,7931,8567,9129,6971,7822,8416,8146,8831,9330
PUMA S3,1020,461,6019,6652,6557,6446,6023,6245,0,0,0,0,0,0,7287,7257,6799,6630,6248,5687,0,0,0,0,0,0,0,0,0,0,0,0,6082,5712,4998,4590,4280,4329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7697,8184,9113,9044,9750,10421,8026,8875,9637,9334,10120,10647
PUMA S3,1020,462,6909,7586,7502,7412,6903,7129,0,0,0,0,0,0,8288,8320,7773,7555,7134,6449,0,0,0,0,0,0,0,0,0,0,0,0,6979,6494,5694,5257,4895,4934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8810,9326,10429,10344,11111,11903,9144,10167,11042,10677,11597,12211
PUMA S3,1020,463,7886,8732,8552,8394,7880,8167,0,0,0,0,0,0,9516,9468,8822,8581,8110,7372,0,0,0,0,0,0,0,0,0,0,0,0,7924,7437,6524,6004,5592,5617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10039,10651,11834,11768,12688,13555,10468,11675,12579,12180,13256,13950
PUMA S3,1020,464,8793,9710,9568,9378,8795,9108,0,0,0,0,0,0,10580,10543,9830,9538,9030,8183,0,0,0,0,0,0,0,0,0,0,0,0,8844,8225,7206,6662,6184,6248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11180,11830,13208,13076,14118,15032,11668,12989,14006,13607,14836,15601
PUMA S3,1020,465,9647,10664,10517,10335,9677,9985,0,0,0,0,0,0,11607,11537,10841,10504,9887,8988,0,0,0,0,0,0,0,0,0,0,0,0,9691,9040,7947,7288,6819,6858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12285,13021,14527,14369,15542,16608,12812,14327,15446,15015,16317,17231
PUMA S3,1020,466,10735,11842,11653,11399,10727,11054,0,0,0,0,0,0,12859,12772,11991,11598,10900,9919,0,0,0,0,0,0,0,0,0,0,0,0,10745,10043,8783,8095,7526,7579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13541,14430,16056,15885,17162,18303,14239,15862,17228,16745,18181,19210
PUMA S3,1020,467,11526,12679,12487,12252,11462,11850,0,0,0,0,0,0,13734,13671,12860,12407,11735,10611,0,0,0,0,0,0,0,0,0,0,0,0,11532,10764,9427,8692,8100,8129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14523,15395,17203,17059,18395,19675,15248,17040,18453,18020,19543,20588
PUMA S3,1020,468,12229,13483,13243,13081,12225,12578,0,0,0,0,0,0,14658,14533,13626,13181,12436,11302,0,0,0,0,0,0,0,0,0,0,0,0,12272,11451,10029,9224,8617,8671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15347,16344,18213,18079,19528,20833,16213,18157,19603,19189,20827,21949
PUMA S3,1020,469,13075,14421,14168,13955,13048,13446,0,0,0,0,0,0,15612,15521,14577,14147,13309,12068,0,0,0,0,0,0,0,0,0,0,0,0,13071,12229,10701,9859,9197,9275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16466,17515,19482,19349,20869,22275,17388,19457,21088,20502,22351,23618
PUMA S3,1020,470,13581,15028,14683,14510,13546,13977,0,0,0,0,0,0,16228,16121,15133,14628,13827,12539,0,0,0,0,0,0,0,0,0,0,0,0,13583,12696,11151,10202,9557,9609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17144,18218,20254,20077,21640,23116,18049,20291,21970,21470,23399,24607
