,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12,H07,H08,H09,H10,H11,H12,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,N/A,N/A,N/A,N/A,N/A,N/A,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,conc,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS16,1020,458,10044,10166,10648,10938,10300,10083,10997,10893,11423,10998,10639,11489,11188,9855,9504,9628,9471,8300,0,0,0,0,0,0,11091,11705,11521,13091,12160,12414,9833,10179,9111,8519,7196,6023,10190,10245,12625,10324,10320,10294,9164,8560,8947,8764,9157,8937,4128,5080,5701,4546,5473,5803,4447,4820,3894,4633,4568,4613,4922,5110,5499,5036,5010,5126,4965,5091,5780,5110,5112,5362,4791,5004,4968,4765,4770,4951,5924,5812,6182,6246,5680,5695,7094,7302,8041,6758,7055,7139,6412,8376,8321,8675,8832,8067
GS16,1020,459,11862,12035,12591,12892,12132,11872,13002,12829,13491,12990,12565,13586,13280,11653,11238,11393,11250,9821,0,0,0,0,0,0,13143,13859,13623,15457,14368,14627,11565,11953,10738,9996,8487,7119,12028,12122,14879,12184,12141,12163,10813,10079,10534,10288,10742,10478,4883,6036,6743,5388,6462,6881,5233,5710,4597,5476,5397,5470,5841,6052,6496,5931,5937,6047,5852,6044,6906,6048,6056,6347,5679,5926,5859,5649,5627,5857,6890,6816,7273,7294,6643,6639,8252,8472,9393,7922,8241,8310,7452,9767,9707,10077,10330,9428
GS16,1020,460,13755,14014,14649,15033,14132,13844,15147,14985,15733,15111,14632,15753,15441,13521,13043,13211,13061,11379,0,0,0,0,0,0,15274,16064,15807,17941,16631,16995,13393,13877,12460,11594,9836,8221,13941,14029,17205,14198,14121,14087,12539,11656,12214,11911,12453,12172,5705,7075,7947,6280,7575,8038,6135,6673,5411,6428,6329,6402,6813,7066,7577,6949,6963,7096,6860,7045,8046,7050,7064,7389,6602,6895,6836,6579,6541,6800,8034,7867,8412,8468,7702,7740,9535,9797,10795,9141,9513,9584,8605,11318,11200,11707,12036,10960
GS16,1020,461,15753,15986,16807,17183,16106,15756,17349,17088,17934,17341,16675,18066,17586,15471,14862,15049,14892,12972,0,0,0,0,0,0,17448,18311,17947,20387,19025,19357,15297,15768,14207,13199,11223,9421,15849,15979,19604,16155,16046,16058,14251,13290,13919,13609,14202,13853,6571,8094,9105,7204,8669,9237,7065,7622,6191,7373,7293,7367,7793,8108,8707,7910,7958,8118,7869,8044,9204,8087,8106,8400,7524,7907,7784,7553,7464,7789,9230,9017,9654,9737,8847,8887,10887,11228,12404,10409,10877,10965,9871,13001,12885,13423,13831,12556
GS16,1020,462,18081,18311,19214,19780,18538,18078,19967,19755,20682,19943,19274,20802,20317,17856,17202,17394,17140,14981,0,0,0,0,0,0,20002,21117,20688,23468,21911,22368,17495,18148,16312,15216,12843,10760,18174,18357,22536,18505,18517,18371,16393,15183,15894,15511,16282,15900,7512,9310,10490,8286,10008,10585,8098,8834,7174,8524,8410,8462,8967,9323,10072,9110,9144,9323,9024,9277,10627,9275,9341,9668,8641,9065,9019,8631,8596,8971,10664,10442,11148,11295,10254,10277,12565,12911,14242,12025,12507,12655,11364,14950,14832,15543,15938,14520
GS16,1020,463,20619,20972,21967,22518,21100,20547,22729,22431,23616,22748,21964,23745,23090,20287,19507,19772,19489,17062,0,0,0,0,0,0,22884,23980,23603,26781,24889,25414,19998,20657,18625,17300,14694,12263,20749,20910,25636,21143,21070,21027,18621,17358,18151,17665,18464,18028,8654,10686,12032,9525,11488,12109,9318,10097,8197,9755,9642,9719,10215,10639,11487,10454,10506,10674,10330,10608,12125,10621,10622,11023,9828,10359,10276,9866,9804,10214,12040,11750,12621,12765,11594,11651,14069,14455,16022,13459,13971,14153,12723,16844,16701,17414,17940,16330
GS16,1020,464,22997,23200,24414,24975,23356,22850,25258,24938,26243,25208,24407,26339,25587,22532,21737,21932,21626,18889,0,0,0,0,0,0,25336,26544,26211,29741,27711,28272,22093,22889,20655,19200,16343,13657,23039,23128,28353,23374,23287,23324,20654,19176,19989,19587,20466,19940,9607,11862,13317,10579,12731,13467,10284,11273,9117,10852,10720,10769,11399,11849,12765,11644,11680,11860,11405,11745,13470,11753,11786,12281,10926,11484,11363,10949,10911,11291,13356,13125,14017,14164,12883,12932,15572,16029,17704,14914,15487,15678,14159,18726,18523,19427,19920,18174
GS16,1020,465,25316,25595,26838,27562,25767,25185,27810,27510,28916,27929,26925,29056,28248,24863,23946,24210,23829,20870,0,0,0,0,0,0,27976,29253,28924,32835,30591,31230,24493,25391,22817,21313,17983,15058,25380,25526,31421,25788,25708,25729,22743,21081,22093,21584,22500,22030,10608,13125,14739,11708,14109,14922,11428,12510,10142,11989,11876,11945,12584,13086,14165,12895,12948,13116,12695,13054,14849,13042,13098,13518,12049,12744,12623,12157,12088,12514,14947,14660,15647,15860,14412,14413,17186,17737,19552,16437,17129,17270,15670,20741,20568,21493,22074,20188
GS16,1020,466,27870,28243,29680,30372,28393,27735,30687,30316,31927,30808,29817,32152,31140,27379,26348,26666,26343,22982,0,0,0,0,0,0,30710,32344,31847,36127,33619,34287,26915,27884,25063,23435,19837,16590,27820,28128,34560,28362,28333,28276,25031,23245,24302,23765,24748,24132,11688,14510,16362,12989,15619,16491,12578,13805,11135,13309,13165,13187,13896,14439,15574,14182,14300,14520,13990,14369,16386,14424,14378,14911,13292,14019,13884,13325,13274,13751,16346,15941,17032,17229,15650,15696,18679,19315,21319,17970,18634,18852,17136,22689,22421,23588,24193,22006
GS16,1020,467,30075,30363,31838,32649,30604,29814,33018,32631,34388,33167,32070,34667,33484,29484,28267,28766,28310,24708,0,0,0,0,0,0,33100,34801,34220,38864,36321,37005,28889,30044,26962,25093,21368,17864,29997,30187,37084,30461,30375,30400,26843,24983,26064,25449,26537,25856,12529,15576,17544,13854,16814,17641,13569,14774,11981,14317,14112,14218,14858,15553,16762,15194,15304,15623,15037,15494,17623,15448,15445,15951,14265,15036,14874,14367,14228,14786,17450,17154,18324,18547,16860,16862,19984,20608,22723,19122,19929,20117,18288,24261,24148,25247,25956,23647
