,,Well,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,wt %,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA S2,1020,487,10202,9579,10603,6547,10858,9576,10225,10583,12885,7782,10559,10199,9974,10586,9197,9785,9216,9406
PUMA S2,1020,488,10058,9498,10444,6448,10722,9439,10072,10419,12643,7650,10400,10003,9837,10397,9028,9628,9010,9254
PUMA S2,1020,489,10027,9433,10393,6439,10629,9392,10010,10357,12597,7593,10310,9941,9737,10349,8989,9525,8964,9195
PUMA S2,1020,490,10109,9547,10555,6514,10815,9559,10100,10427,12735,7675,10402,10021,9839,10420,9076,9638,9030,9314
PUMA S2,1020,491,10090,9534,10520,6534,10754,9492,10040,10360,12593,7623,10334,9966,9786,10391,9030,9532,9001,9240
PUMA S2,1020,492,10240,9682,10680,6630,10919,9669,10202,10506,12726,7703,10456,10008,9935,10514,9118,9663,9120,9362
PUMA S2,1020,493,10494,9917,10926,6785,11177,9918,10377,10682,12987,7853,10569,10253,10122,10674,9300,9848,9265,9561
PUMA S2,1020,494,10814,10136,11234,6981,11496,10178,10600,10898,13241,8017,10829,10457,10314,10849,9458,10076,9462,9751
PUMA S2,1020,495,11206,10589,11627,7266,11925,10519,10960,11246,13637,8297,11161,10773,10687,11201,9735,10312,9767,10034
PUMA S2,1020,496,11532,10885,11966,7486,12275,10856,11199,11492,13939,8482,11365,10967,10962,11494,9969,10541,9981,10279
PUMA S2,1020,497,12046,11398,12561,7858,12875,11388,11665,11907,14388,8800,11818,11430,11332,11899,10343,10924,10368,10700
PUMA S2,1020,498,12497,11819,13085,8166,13353,11863,12028,12317,14905,9064,12228,11804,11736,12292,10692,11343,10747,11083
PUMA S2,1020,499,13316,12617,13940,8757,14268,12658,12763,12978,15689,9632,12908,12486,12406,13038,11274,11952,11325,11720
PUMA S2,1020,500,14036,13274,14671,9218,15008,13360,13349,13592,16383,10043,13550,13062,12999,13562,11799,12470,11852,12295
PUMA S2,1020,501,14810,14051,15513,9747,15857,14044,13940,14209,17091,10499,14114,13672,13607,14182,12323,13037,12401,12859
PUMA S2,1020,502,16048,15282,16893,10612,17291,15354,15123,15312,18445,11388,15209,14762,14697,15265,13287,14038,13417,13954
PUMA S2,1020,503,16940,16145,17858,11232,18210,16199,15894,16076,19330,11982,16001,15557,15408,16104,13963,14767,14122,14716
PUMA S2,1020,504,18177,17253,19128,12065,19532,17444,16944,17065,20681,12766,17084,16553,16455,17111,14904,15710,15052,15702
PUMA S2,1020,505,19503,18540,20518,12971,20994,18679,18100,18335,22037,13691,18336,17770,17592,18274,15925,16838,16178,16923
PUMA S2,1020,506,20854,19823,21868,13838,22417,19935,19230,19490,23413,14515,19490,18860,18769,19401,16891,17846,17253,18018
PUMA S2,1020,507,22042,21079,23390,14782,23883,21207,20447,20663,24840,15458,20667,20164,19894,20588,17925,19011,18296,19202
PUMA S2,1020,508,23779,22705,25115,15928,25772,22861,22012,22195,26743,16706,22308,21605,21425,22134,19307,20386,19742,20678
PUMA S2,1020,509,25210,24144,26754,16937,27298,24290,23383,23555,28485,17764,23664,23054,22752,23527,20540,21649,20965,22106
PUMA S2,1020,510,26545,25412,28057,17855,28630,25593,24572,24822,29911,18655,24960,24291,23821,24721,21606,22749,22121,23356
PUMA S2,1020,511,27622,26490,29331,18591,29845,26694,25661,25960,31223,19524,26101,25395,24848,25813,22563,23734,23147,24445
PUMA S2,1020,512,29080,27907,30884,19580,31551,28057,27109,27400,33014,20636,27627,26908,26318,27265,23813,25115,24521,25895
PUMA S2,1020,513,30208,28931,32018,20265,32570,29076,28131,28395,34273,21453,28705,27864,27261,28177,24644,25974,25428,26937
PUMA S2,1020,514,30771,29448,32713,20724,33345,29711,28663,29069,35156,21994,29377,28513,27919,28891,25210,26593,26062,27667
