,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
p53 NTAD,1020,512,43774,44343,43463,42738,43058,41897,41260,38514,39851,39903,37697,35375,41648,37737,38860,37394,39190,35881
p53 NTAD,1020,513,44619,45290,44457,43550,43817,42648,42114,39265,40766,40911,38642,36460,42493,38597,39709,38440,40302,37026
p53 NTAD,1020,514,45462,46020,45183,44418,44696,43348,42654,39961,41624,41878,39616,37275,43231,39279,40549,39234,41467,38112
p53 NTAD,1020,515,45842,46430,45721,44762,45159,43660,42985,40269,42060,42402,40082,37853,43573,39544,40907,39707,41981,38612
p53 NTAD,1020,516,46275,46675,45876,45039,45383,44110,43329,40609,42266,42687,40584,38459,43827,39984,41335,40245,42691,39250
p53 NTAD,1020,517,45881,46426,45609,44702,45081,43705,43274,40355,42194,42664,40536,38467,43643,39792,41284,40248,42614,39207
p53 NTAD,1020,518,45608,45903,45110,44359,44670,43375,42892,40068,41904,42356,40376,38248,43235,39430,41037,39961,42443,39203
p53 NTAD,1020,519,44880,45316,44422,43593,43969,42762,42121,39388,41356,41851,39899,37831,42682,39005,40524,39422,41880,38771
p53 NTAD,1020,520,43606,44070,43240,42367,42910,41568,41276,38500,40317,40814,39048,37011,41587,37987,39430,38561,40945,37845
p53 NTAD,1020,521,42336,42729,42065,41245,41675,40359,40094,37461,39383,39768,37941,35940,40461,37024,38416,37463,39911,36951
p53 NTAD,1020,522,40637,41008,40239,39422,39790,38712,38568,36013,37787,38196,36492,34595,38882,35432,36947,36076,38250,35435
p53 NTAD,1020,523,39247,39557,38919,38128,38642,37402,37254,34863,36384,36919,35196,33407,37527,34358,35749,34963,37078,34271
p53 NTAD,1020,524,37450,37853,37139,36381,36763,35741,35619,33302,34846,35269,33684,31971,35986,32811,34224,33250,35326,32655
p53 NTAD,1020,525,35565,35863,35217,34497,34963,33768,33744,31553,32928,33430,31919,30258,34124,31125,32366,31610,33581,30971
p53 NTAD,1020,526,33842,34149,33536,32917,33205,32304,32290,30035,31483,31819,30350,28868,32524,29619,30967,30176,31986,29530
p53 NTAD,1020,527,32104,32382,31793,31204,31467,30592,30653,28596,29922,30198,28803,27219,30830,28215,29310,28533,30298,27960
p53 NTAD,1020,528,31109,31284,30848,30210,30556,29641,29545,27755,29038,29372,27859,26377,29831,27301,28334,27608,29315,27076
