,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,wt %,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA S1,1020,486,12727,11520,9613,11301,10123,10172,15168,13635,13596,12510,12184,11551,12889,13046,13138,12892,11401,10116
PUMA S1,1020,487,12677,11458,9628,11246,10078,10153,15022,13521,13473,12432,12161,11455,12812,12977,13056,12771,11338,10046
PUMA S1,1020,488,12496,11333,9480,11091,9988,10027,14842,13314,13253,12224,11978,11285,12638,12741,12867,12583,11173,9903
PUMA S1,1020,489,12458,11313,9459,11077,9958,10003,14675,13184,13180,12139,11874,11217,12525,12656,12763,12493,11072,9818
PUMA S1,1020,490,12717,11492,9622,11251,10096,10142,14809,13291,13219,12270,12012,11304,12651,12826,12836,12557,11169,9923
PUMA S1,1020,491,12655,11497,9626,11227,10074,10138,14691,13187,13156,12145,11883,11267,12519,12635,12751,12513,11154,9900
PUMA S1,1020,492,12903,11695,9829,11460,10260,10376,14890,13336,13342,12287,12049,11445,12658,12789,12970,12685,11306,10053
PUMA S1,1020,493,13258,11987,10118,11743,10510,10640,15017,13487,13507,12526,12262,11641,12846,13012,13127,12857,11468,10286
PUMA S1,1020,494,13635,12318,10381,12149,10832,10954,15317,13797,13769,12716,12481,11947,13146,13264,13340,13100,11724,10549
PUMA S1,1020,495,14220,12892,10848,12692,11276,11493,15742,14166,14176,13093,12944,12306,13481,13624,13782,13502,12113,10883
PUMA S1,1020,496,14677,13318,11213,13122,11674,11880,15996,14352,14455,13410,13213,12657,13718,13834,14002,13828,12424,11152
PUMA S1,1020,497,15434,13963,11800,13786,12151,12485,16537,14812,14892,13855,13748,13187,14192,14291,14481,14312,12894,11623
PUMA S1,1020,498,16122,14633,12402,14440,12834,13094,16978,15248,15303,14359,14217,13671,14577,14669,14912,14769,13377,12066
PUMA S1,1020,499,17217,15666,13269,15467,13613,13966,17855,16032,16141,15108,15034,14518,15332,15492,15708,15601,14149,12821
PUMA S1,1020,500,18235,16522,14091,16387,14417,14884,18509,16619,16794,15774,15745,15271,15907,16010,16357,16265,14820,13461
PUMA S1,1020,501,19307,17526,14899,17393,15207,15714,19166,17287,17417,16423,16545,16075,16554,16608,17052,16954,15574,14198
PUMA S1,1020,502,21115,19130,16304,19006,16571,17186,20495,18444,18714,17673,17830,17368,17717,17823,18282,18270,16886,15407
PUMA S1,1020,503,22361,20275,17325,20191,17642,18243,21302,19138,19517,18481,18761,18390,18367,18525,19107,19185,17725,16291
PUMA S1,1020,504,23971,21893,18656,21656,18886,19684,22496,20230,20627,19638,19918,19660,19487,19588,20198,20355,18906,17463
PUMA S1,1020,505,25784,23400,20021,23409,20248,21203,23751,21499,21749,20842,21326,21120,20562,20764,21425,21663,20221,18802
PUMA S1,1020,506,27608,25087,21471,24989,21651,22724,25040,22617,23093,22095,22648,22554,21709,21936,22658,23025,21610,20069
PUMA S1,1020,507,29433,26770,22928,26710,23084,24240,26269,23758,24374,23428,24098,24078,22947,23049,23968,24350,23001,21403
PUMA S1,1020,508,31737,28864,24741,28856,24847,26131,27998,25384,25968,25019,25843,25909,24443,24551,25675,26141,24756,23076
PUMA S1,1020,509,33744,30732,26339,30667,26379,27847,29462,26736,27451,26541,27494,27597,25690,25871,27115,27641,26324,24614
PUMA S1,1020,510,35445,32288,27716,32257,27728,29341,30720,27895,28627,27722,28786,29013,26803,27038,28377,29018,27673,25940
PUMA S1,1020,511,37080,33627,28940,33613,28883,30626,31916,28821,29824,28850,30096,30428,27713,28052,29368,30214,28876,27184
PUMA S1,1020,512,39098,35406,30501,35459,30455,32255,33545,30374,31308,30474,31778,32121,29217,29382,31110,31965,30664,28751
PUMA S1,1020,513,40502,36502,31535,36739,31448,33272,34485,31308,32348,31517,32908,33332,30173,30416,32055,33038,31719,29972
