,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS48,1020,571,6676,4409,6316,6467,6829,5515,5345,3922,6153,6153,4103,6676,6068,5685,6233,5827,6894,6227
GS48,1020,572,6411,4338,6131,6251,6599,5348,5177,3807,5925,5908,3942,6437,5854,5484,6015,5647,6691,6040
GS48,1020,573,6174,4185,5866,6038,6307,5107,5005,3667,5736,5708,3802,6188,5634,5268,5784,5452,6381,5836
GS48,1020,574,5916,4051,5618,5749,6055,4906,4781,3505,5480,5440,3612,5920,5375,5053,5543,5181,6122,5544
GS48,1020,575,5728,3920,5434,5563,5817,4732,4580,3401,5245,5279,3507,5688,5216,4872,5369,5009,5909,5352
GS48,1020,576,5455,3796,5174,5310,5566,4522,4415,3237,5014,5001,3360,5484,4970,4664,5135,4782,5634,5102
GS48,1020,577,5251,3690,5016,5101,5366,4371,4229,3104,4840,4828,3251,5229,4805,4503,4914,4588,5407,4891
GS48,1020,578,5011,3582,4827,4897,5134,4187,4067,3026,4659,4658,3109,5015,4592,4317,4689,4405,5209,4702
GS48,1020,579,4740,3392,4513,4598,4856,3963,3852,2811,4374,4366,2909,4721,4357,4073,4440,4174,4888,4415
GS48,1020,580,4569,3318,4355,4436,4690,3801,3746,2742,4235,4229,2816,4551,4211,3940,4295,4027,4727,4256
GS48,1020,581,4318,3159,4087,4215,4409,3600,3484,2603,3995,3972,2668,4309,3948,3709,4041,3769,4424,4010
GS48,1020,582,4188,3094,3975,4059,4278,3485,3426,2537,3862,3858,2586,4181,3850,3635,3922,3674,4304,3896
GS48,1020,583,4029,2980,3850,3917,4137,3370,3284,2439,3750,3751,2506,4025,3697,3492,3772,3558,4182,3731
GS48,1020,584,3895,2924,3700,3795,3987,3238,3188,2337,3598,3576,2428,3882,3597,3367,3651,3433,4014,3605
GS48,1020,585,3711,2819,3550,3594,3852,3090,3043,2233,3452,3422,2287,3746,3428,3225,3477,3252,3831,3444
GS48,1020,586,3621,2755,3436,3527,3711,3023,2966,2180,3343,3324,2218,3607,3329,3134,3394,3186,3712,3337
GS48,1020,587,3525,2681,3328,3396,3606,2916,2858,2106,3241,3212,2177,3477,3221,3032,3241,3086,3603,3234
GS48,1020,588,3412,2639,3228,3307,3487,2840,2789,2072,3145,3107,2102,3379,3141,2950,3186,2981,3502,3146
GS48,1020,589,3313,2599,3131,3209,3402,2741,2720,2000,3048,3054,2055,3300,3083,2859,3122,2882,3411,3056
GS48,1020,590,3184,2533,3046,3122,3284,2677,2632,1954,2954,2939,1970,3172,2969,2791,2986,2833,3266,2959
GS48,1020,591,3139,2492,2966,3034,3195,2604,2577,1893,2895,2872,1936,3102,2917,2726,2946,2760,3202,2925
GS48,1020,592,3033,2417,2876,2911,3076,2486,2479,1844,2784,2765,1871,2987,2778,2592,2804,2654,3099,2775
GS48,1020,593,2939,2380,2796,2843,3021,2469,2404,1789,2709,2721,1813,2905,2706,2552,2760,2585,3039,2714
GS48,1020,594,2861,2326,2729,2745,2941,2367,2338,1733,2635,2642,1768,2813,2626,2490,2667,2506,2948,2631
GS48,1020,595,2775,2295,2651,2673,2828,2315,2267,1678,2560,2546,1716,2755,2556,2417,2594,2438,2843,2547
GS48,1020,596,2674,2239,2549,2609,2761,2250,2221,1632,2484,2469,1669,2654,2475,2330,2506,2372,2757,2491
GS48,1020,597,2600,2176,2486,2541,2657,2150,2137,1589,2414,2389,1607,2581,2412,2253,2425,2310,2682,2385
GS48,1020,598,2480,2120,2363,2400,2519,2058,2030,1507,2298,2294,1529,2465,2305,2174,2328,2183,2562,2283
GS48,1020,599,2399,2045,2306,2318,2453,2011,1979,1479,2227,2177,1501,2404,2220,2081,2248,2109,2464,2216
GS48,1020,600,2375,2036,2243,2270,2424,1979,1948,1453,2171,2171,1470,2329,2182,2070,2198,2076,2432,2182
