,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA WT,1020,495,11962,11555,11402,11396,11148,10966,13703,13694,13425,12864,12401,11618,13559,13388,12182,11807,12391,9323
PUMA WT,1020,496,12519,12123,11914,11962,11651,11438,14068,14046,13740,13161,12774,11975,13932,13737,12495,12083,12785,9602
PUMA WT,1020,497,13384,12925,12741,12769,12451,12221,14686,14574,14303,13724,13294,12524,14564,14317,13033,12621,13373,10107
PUMA WT,1020,498,14325,13810,13564,13635,13270,13063,15286,15169,14866,14339,13869,13076,15249,14856,13609,13194,14068,10689
PUMA WT,1020,499,15312,14790,14480,14555,14242,13951,16014,15826,15470,15004,14479,13684,15968,15552,14202,13793,14754,11229
PUMA WT,1020,500,16486,15916,15586,15671,15339,15043,16831,16591,16285,15711,15248,14467,16854,16402,14927,14661,15677,11983
PUMA WT,1020,501,17752,17169,16814,16871,16484,16247,17778,17367,17056,16521,16125,15310,17700,17189,15682,15451,16608,12722
PUMA WT,1020,502,19720,19007,18650,18689,18265,18014,19267,18762,18365,17871,17479,16609,19290,18673,17054,16805,18172,13962
PUMA WT,1020,503,21234,20451,20140,20183,19645,19385,20284,19755,19309,18796,18400,17585,20282,19576,17991,17698,19288,14868
PUMA WT,1020,504,22978,22172,21824,21895,21372,21033,21627,20932,20521,20001,19708,18844,21703,20890,19174,19070,20795,16083
PUMA WT,1020,505,25591,24726,24241,24328,23698,23357,23584,22781,22336,21779,21531,20624,23620,22706,20925,20823,22880,17738
PUMA WT,1020,506,27260,26402,25923,26040,25371,24953,24906,24009,23503,22997,22699,21843,24971,23992,22087,22106,24238,18923
PUMA WT,1020,507,29703,28718,28092,28332,27554,27117,26697,25633,25175,24686,24499,23588,26860,25758,23767,23883,26338,20546
PUMA WT,1020,508,32084,30921,30370,30486,29795,29285,28477,27306,26754,26263,26221,25270,28577,27396,25364,25497,28218,22176
PUMA WT,1020,509,34350,33145,32577,32745,31975,31396,30319,28907,28422,27942,27956,27067,30440,29115,27034,27200,30273,23873
PUMA WT,1020,510,36730,35445,34809,35083,34302,33577,32262,30795,30162,29737,29700,28821,32348,30860,28757,29027,32440,25414
PUMA WT,1020,511,38807,37475,36937,37043,36261,35464,33973,32268,31739,31286,31255,30445,34017,32596,30329,30766,34401,27041
PUMA WT,1020,512,41012,39553,38761,39179,38225,37373,35623,33925,33397,32945,32998,32109,35893,34227,31956,32501,36451,28787
PUMA WT,1020,513,42696,41318,40573,40850,39698,38947,36977,35273,34674,34180,34334,33412,37154,35664,33127,33677,38013,29972
PUMA WT,1020,514,43741,42299,41461,41799,40798,40017,37909,36028,35634,35097,35222,34263,38102,36474,34114,34706,39152,30860
