,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
Ash1,1020,496,19439,20477,19881,20318,16140,18119,23525,25485,24248,24177,22701,19873,21833,21371,20922,19943,18287,16533
Ash1,1020,497,19975,21122,20411,20866,16654,18667,24064,26027,24690,24723,23227,20328,22243,21798,21323,20389,18732,16899
Ash1,1020,498,20553,21691,20985,21524,17103,19149,24442,26341,25141,25193,23661,20860,22621,22158,21715,20726,19098,17292
Ash1,1020,499,21646,22840,22129,22619,18068,20167,25317,27431,26137,26198,24656,21720,23557,23098,22665,21661,20046,18152
Ash1,1020,500,22335,23589,22817,23387,18679,20786,25878,27941,26639,26817,25400,22396,24129,23557,23138,22250,20530,18698
Ash1,1020,501,23202,24448,23730,24155,19379,21571,26380,28606,27254,27466,25993,23019,24695,24176,23798,22941,21248,19400
Ash1,1020,502,24651,26070,25212,25871,20648,22949,27603,29848,28636,28921,27387,24385,25930,25404,25032,24134,22486,20541
Ash1,1020,503,25574,26949,26057,26835,21443,23799,28125,30462,29199,29647,28133,25117,26501,26022,25603,24949,23218,21320
Ash1,1020,504,26967,28407,27474,28261,22553,25074,29160,31538,30299,30759,29308,26237,27522,27058,26639,26006,24345,22393
Ash1,1020,505,28328,29815,28877,29775,23764,26290,30108,32637,31319,31969,30593,27381,28553,27950,27745,27120,25575,23521
Ash1,1020,506,29631,31223,30277,31142,24919,27641,31045,33637,32381,33173,31725,28524,29504,29008,28739,28246,26660,24575
Ash1,1020,507,31081,32737,31737,32715,26119,28891,32070,34815,33446,34416,33037,29845,30581,30205,29936,29574,27877,25852
Ash1,1020,508,32857,34590,33434,34543,27573,30495,33220,36142,34793,35943,34636,31427,31942,31450,31245,30972,29376,27316
Ash1,1020,509,34365,36148,34970,36155,28872,31937,34340,37229,36006,37145,36036,32700,33044,32580,32545,32333,30677,28650
Ash1,1020,510,35480,37236,36116,37342,29814,32934,34872,37973,36744,38136,37007,33756,33858,33397,33329,33262,31614,29709
Ash1,1020,511,36790,38717,37399,38658,30870,34093,35766,38880,37694,39162,38098,34853,34786,34280,34438,34432,32823,30792
Ash1,1020,512,38162,40084,38774,40166,32161,35484,36819,40039,38910,40504,39526,36253,35883,35469,35515,35774,34279,32208
Ash1,1020,513,38882,40752,39440,40921,32775,36137,37123,40419,39230,41016,40181,36806,36356,35940,36048,36437,34949,32886
Ash1,1020,514,39637,41529,40217,41676,33278,36658,37417,40880,39642,41623,40731,37496,36735,36421,36680,37076,35656,33558
Ash1,1020,515,39840,41788,40413,42047,33540,37109,37504,40907,39828,41722,40952,37825,36907,36654,36823,37373,36031,33921
