Q,I(Q),Error
5.81201201E-02,1.09859444E-02,1.84198745E-04
5.84057226E-02,1.09027922E-02,1.85418175E-04
5.86913252E-02,1.08371489E-02,1.83022132E-04
5.89769278E-02,1.03178918E-02,1.84098540E-04
5.92625303E-02,1.07754469E-02,1.83664640E-04
5.95481329E-02,1.03794150E-02,1.83595478E-04
5.98337354E-02,1.04526393E-02,1.84788544E-04
6.01193380E-02,1.01123862E-02,1.79548577E-04
6.04049405E-02,1.01949051E-02,1.84281840E-04
6.06905431E-02,1.01075433E-02,1.80522888E-04
6.09761456E-02,1.01527125E-02,1.82696345E-04
6.12617482E-02,1.02635436E-02,1.83185012E-04
6.15473508E-02,9.85391811E-03,1.79362329E-04
6.18329533E-02,9.86503810E-03,1.81994479E-04
6.21185559E-02,9.99125466E-03,1.78798655E-04
6.24041584E-02,9.75323096E-03,1.80674215E-04
6.26897610E-02,9.34579968E-03,1.78561460E-04
6.29753635E-02,9.45413858E-03,1.79713578E-04
6.32609661E-02,9.70918685E-03,1.81604729E-04
6.35465686E-02,9.53524187E-03,1.77144159E-04
6.38321712E-02,9.55438986E-03,1.78928950E-04
6.41177738E-02,9.41868871E-03,1.77948705E-04
6.44033763E-02,9.22579318E-03,1.77764195E-04
6.46889789E-02,9.26604867E-03,1.79144616E-04
6.49745814E-02,9.10652801E-03,1.75369806E-04
6.52601840E-02,9.28083062E-03,1.79186165E-04
6.55457865E-02,9.07076895E-03,1.76356490E-04
6.58313891E-02,8.63743946E-03,1.75018716E-04
6.61169916E-02,8.92244279E-03,1.82007044E-04
6.64025942E-02,9.10128281E-03,1.85417468E-04
6.66881968E-02,8.87990743E-03,1.89042231E-04
6.69737993E-02,8.45098868E-03,1.86279926E-04
6.72594019E-02,8.86809453E-03,1.90951581E-04
6.75450044E-02,8.70244578E-03,1.90732364E-04
6.78306070E-02,8.21655616E-03,1.93070708E-04
6.81162095E-02,8.15794989E-03,1.94319948E-04
6.84018121E-02,8.57021287E-03,1.93211789E-04
6.86874146E-02,8.01962242E-03,1.96959682E-04
6.89730172E-02,8.05867836E-03,1.95700791E-04
6.92586198E-02,8.07105377E-03,1.98533541E-04
6.95442223E-02,7.77205080E-03,1.98853435E-04
6.98298249E-02,8.19323212E-03,1.97503959E-04
7.01154274E-02,7.89034739E-03,2.02081710E-04
7.04010300E-02,7.94728845E-03,2.00419277E-04
7.06866325E-02,7.86267966E-03,2.01308944E-04
7.09722351E-02,7.67745078E-03,2.06048580E-04
7.12578376E-02,7.71742687E-03,2.03028984E-04
7.15434402E-02,7.83178955E-03,2.06099804E-04
7.18290428E-02,7.59933516E-03,2.03486333E-04
7.21146453E-02,7.36653805E-03,2.04476733E-04
7.24002479E-02,7.29752332E-03,2.04545455E-04
7.26858504E-02,7.03902543E-03,2.03749505E-04
7.29714530E-02,7.85627216E-03,1.99034688E-04
7.32570555E-02,7.42599368E-03,1.92049511E-04
7.35426581E-02,7.44481012E-03,1.89136973E-04
7.38282606E-02,7.12881237E-03,1.89049514E-04
7.41138632E-02,7.10846856E-03,1.85400428E-04
7.43994658E-02,7.10189342E-03,1.85451584E-04
7.46850683E-02,7.13763013E-03,1.81380829E-04
7.49706709E-02,7.17385113E-03,1.81808899E-04
7.52562734E-02,7.08711147E-03,1.80162921E-04
7.55418760E-02,6.81130216E-03,1.79090474E-04
7.58274785E-02,6.97361678E-03,1.78867547E-04
7.61130811E-02,6.97570294E-03,1.76976740E-04
7.63986836E-02,6.75033405E-03,1.75460341E-04
7.66842862E-02,6.66328892E-03,1.74049886E-04
7.69698888E-02,6.79624453E-03,1.74261767E-04
7.72554913E-02,6.50493056E-03,1.72293874E-04
7.75410939E-02,6.40511885E-03,1.72809573E-04
7.78266964E-02,6.64335862E-03,1.72444137E-04
7.81122990E-02,6.70867413E-03,1.70481894E-04
7.83979015E-02,6.16248697E-03,1.70173009E-04
