,,Well,,,,,,,,,,,,,E01,E02,E03,E04,E05,E06,,,,,,,,,,,,,D01,D02,D03,D04,D05,D06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,wt %,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA S2,1020,458,4368,3689,3701,4173,3989,3601,0,0,0,0,0,0,4210,4084,3992,3670,3877,3972,0,0,0,0,0,0,0,0,0,0,0,0,3945,3664,3516,3436,3482,3290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4645,4391,4968,5231,5520,5309,4116,4501,5246,5577,5910,5901
PUMA S2,1020,459,5183,4404,4436,4949,4741,4269,0,0,0,0,0,0,4987,4787,4688,4331,4586,4684,0,0,0,0,0,0,0,0,0,0,0,0,4662,4315,4167,4069,4098,3860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5479,5192,5863,6192,6550,6275,4879,5326,6200,6564,7019,6970
PUMA S2,1020,460,6019,5116,5139,5749,5505,4969,0,0,0,0,0,0,5743,5557,5455,5014,5307,5395,0,0,0,0,0,0,0,0,0,0,0,0,5385,5043,4811,4710,4741,4481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6366,6005,6788,7170,7613,7299,5618,6185,7218,7717,8220,8136
PUMA S2,1020,461,6866,5871,5873,6609,6293,5698,0,0,0,0,0,0,6560,6388,6213,5719,6049,6170,0,0,0,0,0,0,0,0,0,0,0,0,6167,5746,5485,5364,5417,5111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7242,6860,7734,8195,8697,8361,6466,7087,8296,8796,9324,9313
PUMA S2,1020,462,7883,6717,6727,7567,7281,6520,0,0,0,0,0,0,7480,7275,7096,6521,6889,7013,0,0,0,0,0,0,0,0,0,0,0,0,7047,6541,6322,6132,6203,5817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8281,7810,8871,9352,9909,9509,7377,8120,9513,10068,10698,10690
PUMA S2,1020,463,9049,7710,7731,8679,8286,7449,0,0,0,0,0,0,8548,8353,8104,7448,7842,8005,0,0,0,0,0,0,0,0,0,0,0,0,8004,7492,7214,7009,7072,6638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9422,8886,10091,10689,11290,10856,8405,9270,10852,11553,12229,12214
PUMA S2,1020,464,10059,8571,8618,9678,9274,8352,0,0,0,0,0,0,9542,9241,9004,8248,8734,8917,0,0,0,0,0,0,0,0,0,0,0,0,8954,8343,7995,7798,7882,7382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10481,9921,11256,11862,12570,12094,9354,10356,12105,12858,13653,13630
PUMA S2,1020,465,11130,9479,9512,10709,10194,9210,0,0,0,0,0,0,10470,10171,9944,9089,9589,9822,0,0,0,0,0,0,0,0,0,0,0,0,9808,9145,8751,8578,8662,8127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11550,10921,12365,13083,13832,13275,10336,11375,13328,14201,15089,15064
PUMA S2,1020,466,12273,10498,10542,11863,11346,10252,0,0,0,0,0,0,11608,11281,10979,10121,10637,10807,0,0,0,0,0,0,0,0,0,0,0,0,10884,10144,9755,9529,9585,9015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12792,12108,13693,14408,15310,14659,11455,12615,14892,15807,16780,16754
PUMA S2,1020,467,13243,11254,11343,12718,12176,10948,0,0,0,0,0,0,12450,12067,11774,10812,11410,11608,0,0,0,0,0,0,0,0,0,0,0,0,11637,10834,10468,10184,10274,9637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13666,12911,14643,15540,16395,15802,12296,13691,16024,16967,18047,18097
PUMA S2,1020,468,14073,12017,12073,13506,12979,11650,0,0,0,0,0,0,13233,12883,12532,11487,12107,12330,0,0,0,0,0,0,0,0,0,0,0,0,12402,11573,11130,10839,10952,10296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14542,13720,15553,16462,17458,16736,13098,14488,16997,18060,19223,19253
PUMA S2,1020,469,15012,12837,12884,14482,13885,12485,0,0,0,0,0,0,14147,13724,13408,12238,12963,13200,0,0,0,0,0,0,0,0,0,0,0,0,13277,12343,11957,11596,11730,11036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15531,14706,16683,17626,18658,17960,14061,15506,18228,19393,20618,20609
PUMA S2,1020,470,15607,13372,13396,15082,14474,12987,0,0,0,0,0,0,14675,14308,13923,12745,13444,13773,0,0,0,0,0,0,0,0,0,0,0,0,13793,12879,12413,12069,12164,11478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16194,15218,17282,18338,19341,18690,14675,16246,18993,20285,21564,21511
