,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS48,1020,527,21208,45626,40887,41360,40839,40578,37528,37759,36456,39813,37978,38521,36317,37585,38925,37396,38431,37897
GS48,1020,528,20491,44103,39446,39977,39414,39278,36114,36537,35163,38448,36827,37160,35180,36324,37558,36169,37065,36612
GS48,1020,529,19855,42754,38180,38766,38275,37993,35113,35334,34153,37252,35690,36045,34069,35317,36443,35036,35974,35416
GS48,1020,530,19237,41441,37099,37648,37192,36859,34138,34473,33138,36178,34593,34928,33106,34254,35456,34075,34817,34392
GS48,1020,531,18573,39978,35801,36228,35899,35618,33015,33189,32105,34914,33414,33618,32000,33039,34112,32875,33577,33083
GS48,1020,532,17670,38084,34051,34514,34177,33966,31548,31674,30580,33316,31790,31967,30556,31533,32621,31284,31942,31441
GS48,1020,533,17257,37054,33255,33672,33382,33099,30732,30894,29805,32511,31032,31116,29869,30783,31927,30534,31257,30739
GS48,1020,534,16773,36013,32242,32606,32219,32011,29820,29972,28905,31436,30032,30071,29006,29909,30840,29481,30231,29624
GS48,1020,535,16281,34833,31185,31664,31378,31137,29116,29140,28050,30523,29107,29177,28180,29101,30034,28660,29317,28656
GS48,1020,536,15818,33890,30400,30764,30435,30303,28364,28402,27290,29745,28306,28465,27324,28276,29194,27907,28446,27877
GS48,1020,537,15202,32640,29154,29507,29298,29015,27220,27325,26239,28449,27129,27182,26306,27326,28063,26772,27338,26746
GS48,1020,538,14857,31826,28481,28909,28558,28430,26631,26694,25620,27842,26566,26571,25729,26597,27406,26134,26646,26134
