,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C01,C02,C03,C04,C05,C06,,,,,,,,,,,,
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Ficoll,Ficoll,Ficoll,Ficoll,Ficoll,Ficoll,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,Glycerol,Glycerol,Glycerol,Glycerol,Glycerol,Glycerol,PEG200,PEG200,PEG200,PEG200,PEG200,PEG200,PEG1500,PEG1500,PEG1500,PEG1500,PEG1500,PEG1500,PEG4000,PEG4000,PEG4000,PEG4000,PEG4000,PEG4000,PEG8000,PEG8000,PEG8000,PEG8000,PEG8000,PEG8000,Sucrose,Sucrose,Sucrose,Sucrose,Sucrose,Sucrose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,Dextran,Dextran,Dextran,Dextran,Dextran,Dextran,EG,EG,EG,EG,EG,EG,PEG400,PEG400,PEG400,PEG400,PEG400,PEG400,PEG2000,PEG2000,PEG2000,PEG2000,PEG2000,PEG2000,PEG6000,PEG6000,PEG6000,PEG6000,PEG6000,PEG6000,PEG10000,PEG10000,PEG10000,PEG10000,PEG10000,PEG10000
PUMA S2,1020,458,4368,3689,3701,4173,3989,3601,4039,3663,3571,3432,2427,3065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4225,4005,4034,3772,3234,2754,0,0,0,0,0,0,0,0,0,0,0,0
PUMA S2,1020,459,5183,4404,4436,4949,4741,4269,4779,4344,4248,4057,2829,3602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5006,4719,4812,4491,3844,3274,0,0,0,0,0,0,0,0,0,0,0,0
PUMA S2,1020,460,6019,5116,5139,5749,5505,4969,5522,4993,4913,4699,3257,4138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5798,5494,5586,5199,4469,3782,0,0,0,0,0,0,0,0,0,0,0,0
PUMA S2,1020,461,6866,5871,5873,6609,6293,5698,6348,5729,5575,5335,3711,4710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6672,6293,6368,5985,5116,4323,0,0,0,0,0,0,0,0,0,0,0,0
PUMA S2,1020,462,7883,6717,6727,7567,7281,6520,7247,6543,6401,6103,4203,5331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7620,7198,7312,6818,5866,4952,0,0,0,0,0,0,0,0,0,0,0,0
PUMA S2,1020,463,9049,7710,7731,8679,8286,7449,8279,7454,7298,6975,4777,6089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8746,8211,8342,7817,6674,5652,0,0,0,0,0,0,0,0,0,0,0,0
PUMA S2,1020,464,10059,8571,8618,9678,9274,8352,9207,8294,8119,7776,5325,6753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9706,9171,9325,8706,7441,6306,0,0,0,0,0,0,0,0,0,0,0,0
PUMA S2,1020,465,11130,9479,9512,10709,10194,9210,10109,9105,8905,8524,5817,7381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10672,10070,10234,9599,8162,6921,0,0,0,0,0,0,0,0,0,0,0,0
PUMA S2,1020,466,12273,10498,10542,11863,11346,10252,11212,10101,9868,9424,6452,8187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11787,11203,11339,10631,9068,7672,0,0,0,0,0,0,0,0,0,0,0,0
PUMA S2,1020,467,13243,11254,11343,12718,12176,10948,11997,10829,10599,10128,6887,8777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12668,11994,12176,11426,9765,8254,0,0,0,0,0,0,0,0,0,0,0,0
